sentence	source	arget	relation
there is a convention about exit codes.	codes	codes	is
this is a problem because usually the child doesn’t know about those file descriptors.	descriptors	descriptors	is
the following is a snippet of how to use system.	how  system	system	is
passing something along the lines of argv[1] = "; sudo su" is a huge security risk called privilege escalation.	escalation	=	is
• malloc(size_t bytes) is a c library call and is used to reserve a contiguous block of memory that may be uninitialized [4, p. 348].	p.  p.	memory	is
our heap memory is a list of blocks where each block is either allocated or unallocated.	where  block	blocks	is
after setting up your fields then it becomes simply looping through each of the blocks and checking the appropriate fields here is a visual representation of what happens.	visual  representation	fields	is
there is a lot of overhead for that allocation which is what we are trying to avoid.	allocation	what	is
allocating memory is a worst-case linear time operation – search linked lists for a sufficiently large free block.	free  block	block	is
the slub allocator is a slab allocator that serves different needs for the linux kernel slub.	different  needs	linux kernel slub	is
the slub allocator is a segregated list allocator with minimal splitting and coalescing.	coalescing	splitting	is
almost weirdly, a thread is a process, meaning that creating a thread is similar to fork, except there is no copying meaning no copy on write.	write	write	is
• the first is a pointer to a variable that will hold the id of the newly created thread.	created  thread	thread	is
• the second is a pointer to attributes that we can use to tweak and tune some of the advanced features of pthreads.	pthreads	pthreads	is
calling pthread_exit in the main thread is a common way for simple programs to ensure that all threads finish.	threads	thread	is
but when compiled with -o2, assembly output is a single instruction.	single  instruction	-o2	is
first, there is a decent bit of boilerplate code.	code	code	is
a critical section is a section of code that can only be executed by one thread at a time if the program is to function correctly.	program	time	is
if the memory location is only accessible by one thread, for example the automatic variable i below, then there is no possibility of a race condition and no critical section associated with i. however, the sum variable is a global variable and accessed by two threads.	two  threads	threads	is
a typical output of the above code is argggh sum is <some number less than expected> because there is a race condition.	condition	code	is
here is a complete example in the spirit of the earlier piece of code.	code	code	is
atomic compare and exchange is an instruction supported by most modern architectures (on x86 it’s lock cmpxchg).	cmpxchg	cmpxchg	is
while push (and pop) is executing, the data structure is an inconsistent state, for example the count may not have been written to, so it may still contain the original value.	original  value	value	is
though, it was in an unpublished paper, so it was not discovered until later [1] (this is an english transcribed version released in 1965).	transcribed  version	1965	was in
that is a complete implementation of a counting semaphore notice that we are calling sem_post every single time.	time  time	sem_post	is
here is a sample program using barriers.	barriers	barriers	is
this is an example of the reader writer problem.	problem	problem	is
a ring buffer is a simple, usually fixed-sized, storage mechanism where contiguous memory is treated as if it is circular, and two index counters keep track of the current beginning and end of the queue.	queue	queue	is
even though it is a common statistical phrase that all models are wrong, the more accurate the model is to the system the higher the chance the method will work.	method	system	is to
there are four necessary and sufficient conditions for deadlock – meaning if these conditions hold then there is a non-zero probability that the system will deadlock at any given iteration.	given  iteration	iteration	are
what the algorithm refers to is that if there is an adversary that specifically crafts a program – or equivalently a user who poorly writes a program – that the os deadlocks.	os  deadlocks	program	is
why this is a popular choice in this realm is that there is no way of knowing which resources a program will select without running the program.	program	program	is
this is an extension of rice’s theorem [3] that says that we cannot know any semantic feature without running the program (semantic meaning like what files it tries to open).	files	files	is
here is a visualization of the worst-case.	worst  case	case	is
a page is a block of virtual memory.	virtual  memory	memory	is
a page table is a map from a number to a particular frame.	particular  frame	frame	is
each table is a list of pointers that point to the next level of tables, som sub-tables may be omitted.	tables	tables	is
accesses of most programs, there is a significant chance that the tlb has cached the results.	results	results	is
there is a sort of pseudocode associated with the mmu.	mmu	mmu	is
mmap is an interesting call because instead of tying each virtual address to a physical frame, it ties it to something else.	physical  frame	something	is
it is an important distinction that we are talking about mmap and not memory-mapped io in general.	mapped  io	mmap	is
one of the big optimizations is a file may be lazily allocated to memory.	lazily  memory	memory	is
below is an annotated walkthrough of the example code in the man pages.	pages	pages	is
this is an imperfect way to protect against data races.	races	races	is
sharing anonymous memory is an efficient form of inter-process communication because there is no copying, system call, or disk-access overhead - the two processes share the same physical frame of main memory.	main  memory	memory	is
a named pipe mkfifo is a pipe that a program calls open(2) on with read and/or write permissions.	permissions	permissions	is
but here is an invalid series of operations that cause a race condition.	condition	condition	is
for files less than the size of a long, using fseek and ftell is a simple way to accomplish this.	simple  way	this	is
as you might have observed with using fork, there is a quirk of the implementation of files and their caches on ubuntu that will rewind a file descriptor once a file has been closed.	file	descriptor	is
hadoop is a great example where processes will write to append-only tables and then other processes will read from those tables.	tables	tables	is
one is a linear or near-linear read through of the file.	file	file	is
one advantage of fcfs is that scheduling algorithm is simple the ready queue is a fifo (first in first out) queue.	out  queue	first  first	is
as for another definition, a protocol is a set of specifications put forward by the internet engineering task force that govern how implementers of a protocol have their program or circuit behave under specific circumstances.	specific  circumstances	circumstances	is
as such, now there is a key exchange similar to tls in higher layers that allows you to encrypt communication.	communication	communication	is
tcp or transport control protocol is a connection-based protocol that is built on top of ipv4 and ipv6 and therefore can be described as “tcp/ip” or “tcp over ip”.	ip	ip	is
error handling with getaddrinfo is a little different.	handling	getaddrinfo	is
sockets are created with a domain af_inet for ipv4 or af_inet6 for ipv6, socket_type is whether to use udp, tcp, or other some other socket type, the protocol is an optional choice of protocol configuration for our examples this we can leave this as 0 for default.	default	default	is
in essence, there is a hierarchy of dns servers.	servers	servers	is
there is a limit on how many subdomains you can have, but this is often used to route requests to different servers to avoid having to buy many high performant servers to route requests.	requests	requests	is
there is a version in c as well if you want to check that out.	c	well  that	is
google protocol buffers is an open-source efficient binary protocol that places a strong emphasis on high throughput with low cpu overhead and minimal memory copying.	copying	overhead	is
the last piece of background is an important one.	important  one	background	is
confusingly in the real world, there is a different convention.	different  convention	world	is
this is a historical quirk was brought by a clash between network developers and memory/hard storage developers.	developers	developers	is
you may have encountered the old unix adage, "everything is a file".	file	adage	is
a filesystem is an implementation of the file interface.	interface	interface	is
a single indirect block is a block that stores pointers to more data blocks.	blocks	blocks	is
forgetting to release resources is a common c programming bug because there is no support in the c language to ensure resources are always released with all code paths.	paths	paths	is
there is a c library call to create symlinks which is similar to link.	symlinks	symlinks	is
below is an example that illustrates the simplification of the a/b/../c/.	b/	b/	is
lstat() is identical to stat(), except that if pathname is a symbolic link, then it returns information about the link itself, not the file that it refers to.	file	that	is identical
to change the permission bits, there is a system call, int chmod(const char *path, mode_t mode);.	mode	bits	is
similar, there is a setgid bit which sets the gid of the executor to the gid of the owner.	owner	owner	is
there is a window of opportunity between when the directory is created and when it’s permissions are changed.	permissions	opportunity	is
the iso9660 filesystem is a read-only filesystem originally designed for optical storage media (i.e. cdroms).	i.e.  cdroms	media	is
note, this is a simplified description because solid state drives (ssds) can be used as a secondary write-back cache.	cache	cache	is
this is a way to salvage hard disks in cases there is critical data and there is no apparent backup.	apparent  backup	cases	is
if two disks from opposing raid partitions fail, there is a chance that you can recover though we don’t could on it most of the time.	most  time	time	is
mttf = mean time to failure mttr = mean time to repair n = number of original disks p = mttr / (mttf-one-disk / (n-1)) using typical numbers (mttr=1day, mttf=1000days, n-1 = 9, p=0.009) there is a 1% chance that another drive will fail during the rebuild process (at that point you had better hope you still have an accessible backup of your original data.	original  data	data	is
a signal disposition is a per-process attribute that determines how a signal is handled after it is delivered.	how  signal	process	is
for example, the following is a program that slowly prints a dot every second, up to 59 dots.	59  dots	dots	is
ps is an important utility that can help you find the pid of a process.	process	process	is
the mask is a temporary signal mask used during the signal handler execution.	execution	execution	is
it is a common error to forget to initialize the signal set before adding to the set.	set	set	is
a common practice is to have one thread that can receive all signals or if there is a certain signal that requires special logic, have multiple threads for multiple signals.	multiple  signals	signals	is
spectre is a bug where instructions that otherwise wouldn’t be executed are speculatively executed due to out-of-order instruction execution.	execution	execution	is
the following snippet is a high-level proof of concept.	concept	concept	is
this is a value that resides in the stack and must remain constant for the duration of the function call.	call	call	is
openbsd is an arguably better system for security.	security	security	is
pledge is a powerful command that restricts system calls.	calls	calls	is
chroot is a contrived way of creating a virtualization environment.	environment	environment	is
a container is a lightweight environment that shares resources and a kernel with a host machine, while isolating itself from other containers or processes on the host.	host	host	is
the shell only looks through a special variable called path which contains a list of colon separated paths to search for an executable with your name, here is an example path.	path	name	is
a terminal is an application that displays the output from the shell.	shell	shell	is
further classes will teach you about parsing and assembly – preprocessing is an extension of parsing.	extension	parsing	is
a static library is literally is an archive of object files.	files	files	is
this is useful when you don’t know how long the scheduling will take • guided scheduling this is a mix of the above with a mix of the benefits and tradeoffs.	tradeoffs	benefits	is useful
openmp is a standard that is an alternative to pthreads.	pthreads	pthreads	is
journalling is a simple invention where the file system writes an operation in a journal.	journal	journal	is
storemi is a hardware microcontroller that analyzes how the operating system accesses files and moves files/blocks around to speed up the load time.	time	time	is
• if a group of processes is running on non-adjacent cores then there is a bug.	then  bug	cores	is
for the curious, here is a longer, historical discussion.	historical  discussion	curious	is
this is a pretty naive example, but it shows that we can tell threads to wake up in a standardized manner.	standardized  manner	manner	is
internally, it is a worker pool of threads that executes instructions of all the running goroutines.	running  goroutines	goroutines	is
kqueue is a system call that is exclusive the bsds and macos.	bsds	bsds	is
reallocarray() is a nonstandard extension that first appeared in openbsd 5.6 and freebsd 11.0.	5.6  freebsd	openbsd	is
each arena is a large region of memory that is internally allocated by the system (using brk(2) or mmap(2)), and managed with its own mutexes.	own  mutexes	mutexes	is
someone who knows sleepsort is a bad idea but still dreams of an excuse to use it.	excuse	it	is
for example the above is a problem insofar as getting information back to the attackers if it is allowed to communicate with them.	back  attackers	them	is
privacy concerns aside, and believe me there are a lot of them, the big problem was that this rootkit is a backdoor for everyone’s systems if programmed incorrectly.	systems	systems	was
a rootkit is a piece of code usually installed kernel-side that keeps track of almost anything that a user does.	almost  user	almost  that	is
