sentence	source	start
vary. or depending on performance operations, it may keep that value in cache or in a register which is local to that process – try dumping the -o2 optimized assembly of incrementing a variable. the problem comes in if two processors try to do it at the same time. the two processors could at the same time copy the value of the memory address, add one, and store the same result back, resulting in the value only being incremented once. that is why we have a special set of instructions on modern systems called atomic operations. if an instruction is atomic, it makes sure that only one processor or thread performs any intermediate step at a time. with x86 this is done by the lock prefix [8, p. 1120].	address	336
vary. or depending on performance operations, it may keep that value in cache or in a register which is local to that process – try dumping the -o2 optimized assembly of incrementing a variable. the problem comes in if two processors try to do it at the same time. the two processors could at the same time copy the value of the memory address, add one, and store the same result back, resulting in the value only being incremented once. that is why we have a special set of instructions on modern systems called atomic operations. if an instruction is atomic, it makes sure that only one processor or thread performs any intermediate step at a time. with x86 this is done by the lock prefix [8, p. 1120].	memory	329
vary. or depending on performance operations, it may keep that value in cache or in a register which is local to that process – try dumping the -o2 optimized assembly of incrementing a variable. the problem comes in if two processors try to do it at the same time. the two processors could at the same time copy the value of the memory address, add one, and store the same result back, resulting in the value only being incremented once. that is why we have a special set of instructions on modern systems called atomic operations. if an instruction is atomic, it makes sure that only one processor or thread performs any intermediate step at a time. with x86 this is done by the lock prefix [8, p. 1120].	system	498
if a particular address is already in the cache when reading or writing, the processor will perform the operation on the cache such as adding and update the actual memory later because updating memory is slow [9, section 3.4]. if it isn’t, the processor requests a chunk of memory from the memory chip and stores it in the cache, kicking out the least recently used page – this depends on caching policy, but intel’s does use this. this is done because the l3 processor cache is roughly three times faster to reach than the memory in terms of time [11, p. 22] though exact speeds will vary based on the clock speed and architecture. naturally, this leads to problems because there are two different copies of the same value, in the cited paper this refers to an unshared line. this isn’t a class about caching, know how this could impact your code. a short but non-complete list could be 1. race conditions! if a value is stored in two different processor caches, then that value should be accessed by a single thread.	thread	1011
if a particular address is already in the cache when reading or writing, the processor will perform the operation on the cache such as adding and update the actual memory later because updating memory is slow [9, section 3.4]. if it isn’t, the processor requests a chunk of memory from the memory chip and stores it in the cache, kicking out the least recently used page – this depends on caching policy, but intel’s does use this. this is done because the l3 processor cache is roughly three times faster to reach than the memory in terms of time [11, p. 22] though exact speeds will vary based on the clock speed and architecture. naturally, this leads to problems because there are two different copies of the same value, in the cited paper this refers to an unshared line. this isn’t a class about caching, know how this could impact your code. a short but non-complete list could be 1. race conditions! if a value is stored in two different processor caches, then that value should be accessed by a single thread.	code	843
if a particular address is already in the cache when reading or writing, the processor will perform the operation on the cache such as adding and update the actual memory later because updating memory is slow [9, section 3.4]. if it isn’t, the processor requests a chunk of memory from the memory chip and stores it in the cache, kicking out the least recently used page – this depends on caching policy, but intel’s does use this. this is done because the l3 processor cache is roughly three times faster to reach than the memory in terms of time [11, p. 22] though exact speeds will vary based on the clock speed and architecture. naturally, this leads to problems because there are two different copies of the same value, in the cited paper this refers to an unshared line. this isn’t a class about caching, know how this could impact your code. a short but non-complete list could be 1. race conditions! if a value is stored in two different processor caches, then that value should be accessed by a single thread.	address	16
if a particular address is already in the cache when reading or writing, the processor will perform the operation on the cache such as adding and update the actual memory later because updating memory is slow [9, section 3.4]. if it isn’t, the processor requests a chunk of memory from the memory chip and stores it in the cache, kicking out the least recently used page – this depends on caching policy, but intel’s does use this. this is done because the l3 processor cache is roughly three times faster to reach than the memory in terms of time [11, p. 22] though exact speeds will vary based on the clock speed and architecture. naturally, this leads to problems because there are two different copies of the same value, in the cited paper this refers to an unshared line. this isn’t a class about caching, know how this could impact your code. a short but non-complete list could be 1. race conditions! if a value is stored in two different processor caches, then that value should be accessed by a single thread.	memory	164
if a particular address is already in the cache when reading or writing, the processor will perform the operation on the cache such as adding and update the actual memory later because updating memory is slow [9, section 3.4]. if it isn’t, the processor requests a chunk of memory from the memory chip and stores it in the cache, kicking out the least recently used page – this depends on caching policy, but intel’s does use this. this is done because the l3 processor cache is roughly three times faster to reach than the memory in terms of time [11, p. 22] though exact speeds will vary based on the clock speed and architecture. naturally, this leads to problems because there are two different copies of the same value, in the cited paper this refers to an unshared line. this isn’t a class about caching, know how this could impact your code. a short but non-complete list could be 1. race conditions! if a value is stored in two different processor caches, then that value should be accessed by a single thread.	section	213
2. speed. with a cache, your program may look faster mysteriously. just assume that reads and writes that either happened recently or are next to each other in memory are fast.	memory	160
interrupts are a important part of system programming. an interrupt is internally an electrical signal that is delivered to the processor when something happens – this is a hardware interrupt [3]. then the hardware decides if this is something that it should handle (i.e. handling keyboard or mouse input for older keyboard and mouses) or it should pass to the operating system. the operating system then decides if this is something that it should handle (i.e. paging a memory table from disk) or something the application should handle (i.e. a segfault). if the operating system decides that this is something that the process or program should take care of, it sends a software fault and that software fault is then propagated. the application then decides if it is an error	memory	471
interrupts are a important part of system programming. an interrupt is internally an electrical signal that is delivered to the processor when something happens – this is a hardware interrupt [3]. then the hardware decides if this is something that it should handle (i.e. handling keyboard or mouse input for older keyboard and mouses) or it should pass to the operating system. the operating system then decides if this is something that it should handle (i.e. paging a memory table from disk) or something the application should handle (i.e. a segfault). if the operating system decides that this is something that the process or program should take care of, it sends a software fault and that software fault is then propagated. the application then decides if it is an error	system	35
(segfault) or not (sigpipe for example) and reports to the user. applications can also send signals to the kernel and to the hardware as well. this is an oversimplification because there are certain hardware faults that can’t be ignored or masked away, but this class isn’t about teaching you to build an operating system.	system	315
an important application of this is this is how system calls are served! there is a well-established set of registers that the arguments go in according to the kernel as well as a system call “number” again defined by the kernel. then the operating system triggers an interrupt which the kernel catches and serves the system call [7].	system	48
an important application of this is this is how system calls are served! there is a well-established set of registers that the arguments go in according to the kernel as well as a system call “number” again defined by the kernel. then the operating system triggers an interrupt which the kernel catches and serves the system call [7].	a system call	178
operating system developers and instruction set developers alike didn’t like the overhead of causing an interrupt on a system call. now, systems use sysenter and sysexit which has a cleaner way of transferring control safely to the kernel and safely back. what safely means is obvious out of the scope for this class, but it persists.	system	10
operating system developers and instruction set developers alike didn’t like the overhead of causing an interrupt on a system call. now, systems use sysenter and sysexit which has a cleaner way of transferring control safely to the kernel and safely back. what safely means is obvious out of the scope for this class, but it persists.	a system call	117
2.1.5 optional: hyperthreading	thread	21
2.1.5 optional: hyperthreading	hyperthreading	16
hyperthreading is a new technology and is in no way shape or form multithreading. hyperthreading allows one physical core to appear as many virtual cores to the operating system [8, p.51]. the operating system can then schedule processes on these virtual cores and one core will execute them. each core interleaves processes or threads. while the core is waiting for one memory access to complete, it may perform a few instructions of another process thread. the overall result is more instructions executed in a shorter time. this potentially means that you can divide the number of cores you need to power smaller devices.	thread	5
hyperthreading is a new technology and is in no way shape or form multithreading. hyperthreading allows one physical core to appear as many virtual cores to the operating system [8, p.51]. the operating system can then schedule processes on these virtual cores and one core will execute them. each core interleaves processes or threads. while the core is waiting for one memory access to complete, it may perform a few instructions of another process thread. the overall result is more instructions executed in a shorter time. this potentially means that you can divide the number of cores you need to power smaller devices.	memory	371
hyperthreading is a new technology and is in no way shape or form multithreading. hyperthreading allows one physical core to appear as many virtual cores to the operating system [8, p.51]. the operating system can then schedule processes on these virtual cores and one core will execute them. each core interleaves processes or threads. while the core is waiting for one memory access to complete, it may perform a few instructions of another process thread. the overall result is more instructions executed in a shorter time. this potentially means that you can divide the number of cores you need to power smaller devices.	system	171
hyperthreading is a new technology and is in no way shape or form multithreading. hyperthreading allows one physical core to appear as many virtual cores to the operating system [8, p.51]. the operating system can then schedule processes on these virtual cores and one core will execute them. each core interleaves processes or threads. while the core is waiting for one memory access to complete, it may perform a few instructions of another process thread. the overall result is more instructions executed in a shorter time. this potentially means that you can divide the number of cores you need to power smaller devices.	hyperthreading	0
there be dragons here though. with hyperthreading, you must be wary of optimizations. a famous hyperthreading bug that caused programs to crash if at least two processes were scheduled on a physical core, using specific registers, in a tight loop. the actual problem is better explained through an architecture lens. but, the actual application was found through systems programmers working on ocaml’s mainline [10].	thread	40
there be dragons here though. with hyperthreading, you must be wary of optimizations. a famous hyperthreading bug that caused programs to crash if at least two processes were scheduled on a physical core, using specific registers, in a tight loop. the actual problem is better explained through an architecture lens. but, the actual application was found through systems programmers working on ocaml’s mainline [10].	system	363
there be dragons here though. with hyperthreading, you must be wary of optimizations. a famous hyperthreading bug that caused programs to crash if at least two processes were scheduled on a physical core, using specific registers, in a tight loop. the actual problem is better explained through an architecture lens. but, the actual application was found through systems programmers working on ocaml’s mainline [10].	optimizations	71
there be dragons here though. with hyperthreading, you must be wary of optimizations. a famous hyperthreading bug that caused programs to crash if at least two processes were scheduled on a physical core, using specific registers, in a tight loop. the actual problem is better explained through an architecture lens. but, the actual application was found through systems programmers working on ocaml’s mainline [10].	hyperthreading	35
ssh is short for the secure shell [2]. it is a network protocol that allows you to spawn a shell on a remote machine.	a shell	89
if you don’t want to type your password out every time, you can generate an ssh key that uniquely identifies your machine. if you already have a key pair, you can skip to the copy id stage.	type	21
ssh-keygen -t rsa -b 4096 do whatever keygen tells you don’t feel like you need a passcode if your login password is secure ssh-copy-id netid@sem-cs241-vm.cs.illinois.edu enter your password for maybe the final time ssh netid@sem-cs241-vm.cs.illinois.edu	code	86
if you still think that that is too much typing, you can always alias hosts. you may need to restart your vm or reload sshd for this to take effect. the config file is available on linux and mac distros. for windows, you’ll have to use the windows linux subsystem or configure any aliases in putty	system	257
what is ‘git‘? git is a version control system. what that means is git stores the entire history of a directory. we refer to the directory as a repository. so what do you need to know is a few things. first, create your repository with the repo creator. if you haven’t already signed into enterprise github, make sure to do so otherwise your repository won’t be created for you. after that, that means your repository is created on the server. git is a decentralized version control system, meaning that you’ll need to get a repository onto your vm. we can do this with a clone. whatever you do, do not go through the readme.md tutorial.	system	40
vim is a text editor and a unix-like utility. you enter vim by typing vim [file], which takes you into the editor. there are three most commonly used modes: normal mode, insert mode, and command mode. you start off in normal mode. in this mode, you can move around with many keys with the most common ones being hjkl (corresponding to left, down, up, and right respectively). to run commands in vim, you can first type : and then a command after it. for instance, to quit vim, simply type :q (q stands for quit). if you have any unsaved edits, you must either save them :w, save and quit :wq, or quit and discard changes :q!. to make edits you can either type i to change you into insert mode or a to change to insert mode after the cursor. this is the basics when it comes to vim. in addition to the countless great resources out there on the internet, vim also has its own built-in tutorials set up for beginners. to access the interactive tutorial, enter vimtutor in the command line (not inside of vim), and you are all set!	resources	817
vim is a text editor and a unix-like utility. you enter vim by typing vim [file], which takes you into the editor. there are three most commonly used modes: normal mode, insert mode, and command mode. you start off in normal mode. in this mode, you can move around with many keys with the most common ones being hjkl (corresponding to left, down, up, and right respectively). to run commands in vim, you can first type : and then a command after it. for instance, to quit vim, simply type :q (q stands for quit). if you have any unsaved edits, you must either save them :w, save and quit :wq, or quit and discard changes :q!. to make edits you can either type i to change you into insert mode or a to change to insert mode after the cursor. this is the basics when it comes to vim. in addition to the countless great resources out there on the internet, vim also has its own built-in tutorials set up for beginners. to access the interactive tutorial, enter vimtutor in the command line (not inside of vim), and you are all set!	type	414
2.2.4 clean code	code	12
make your code modular using helper functions. if there is a repeated task (getting the pointers to contiguous blocks in the malloc mp, for example), make them helper functions. and make sure each function does one thing well so that you don’t have to debug twice. let’s say that we are doing selection sort by finding the minimum element each iteration like so,	code	10
make your code modular using helper functions. if there is a repeated task (getting the pointers to contiguous blocks in the malloc mp, for example), make them helper functions. and make sure each function does one thing well so that you don’t have to debug twice. let’s say that we are doing selection sort by finding the minimum element each iteration like so,	block	111
make your code modular using helper functions. if there is a repeated task (getting the pointers to contiguous blocks in the malloc mp, for example), make them helper functions. and make sure each function does one thing well so that you don’t have to debug twice. let’s say that we are doing selection sort by finding the minimum element each iteration like so,	pointer	88
many can see the bug in the code, but it can help to refactor the above method into	code	28
and the error is specifically in one function. in the end, this class is about writing system programs, not a class about refactoring/debugging your code. in fact, most kernel code is so atrocious that you don’t want to read it – the defense there is that it needs to be. but for the sake of debugging, it may benefit you in the long run to adopt some of these practices.	code	149
and the error is specifically in one function. in the end, this class is about writing system programs, not a class about refactoring/debugging your code. in fact, most kernel code is so atrocious that you don’t want to read it – the defense there is that it needs to be. but for the sake of debugging, it may benefit you in the long run to adopt some of these practices.	system	87
use assertions to make sure your code works up to a certain point – and importantly, to make sure you don’t break it later. for example, if your data structure is a doubly-linked list, you can do something like assert(node == node->next->prev) to assert that the next node has a pointer to the current node. you can also check the pointer is pointing to an expected range of memory address, non-null, ->size is reasonable, etc.	a struct	148
use assertions to make sure your code works up to a certain point – and importantly, to make sure you don’t break it later. for example, if your data structure is a doubly-linked list, you can do something like assert(node == node->next->prev) to assert that the next node has a pointer to the current node. you can also check the pointer is pointing to an expected range of memory address, non-null, ->size is reasonable, etc.	code	33
use assertions to make sure your code works up to a certain point – and importantly, to make sure you don’t break it later. for example, if your data structure is a doubly-linked list, you can do something like assert(node == node->next->prev) to assert that the next node has a pointer to the current node. you can also check the pointer is pointing to an expected range of memory address, non-null, ->size is reasonable, etc.	address	382
use assertions to make sure your code works up to a certain point – and importantly, to make sure you don’t break it later. for example, if your data structure is a doubly-linked list, you can do something like assert(node == node->next->prev) to assert that the next node has a pointer to the current node. you can also check the pointer is pointing to an expected range of memory address, non-null, ->size is reasonable, etc.	memory	375
use assertions to make sure your code works up to a certain point – and importantly, to make sure you don’t break it later. for example, if your data structure is a doubly-linked list, you can do something like assert(node == node->next->prev) to assert that the next node has a pointer to the current node. you can also check the pointer is pointing to an expected range of memory address, non-null, ->size is reasonable, etc.	pointer	279
here is a quick example with an assert. let’s say that we are writing code using memcpy. we would want to put an assert before that checks whether my two memory regions overlap. if they do overlap, memcpy runs into undefined behavior, so we want to catch that problem than later.	code	70
here is a quick example with an assert. let’s say that we are writing code using memcpy. we would want to put an assert before that checks whether my two memory regions overlap. if they do overlap, memcpy runs into undefined behavior, so we want to catch that problem than later.	memory	154
2.3 valgrind	valgrind	4
valgrind is a suite of tools designed to provide debugging and profiling tools to make your programs more correct and detect some runtime issues [4]. the most used of these tools is memcheck, which can detect many memory-related errors that are common in c and c++ programs and that can lead to crashes and unpredictable behavior (for example, unfreed memory buffers). to run valgrind on your program:	memory	214
valgrind is a suite of tools designed to provide debugging and profiling tools to make your programs more correct and detect some runtime issues [4]. the most used of these tools is memcheck, which can detect many memory-related errors that are common in c and c++ programs and that can lead to crashes and unpredictable behavior (for example, unfreed memory buffers). to run valgrind on your program:	valgrind	0
valgrind --leak-check=full --show-leak-kinds=all myprogram arg1 arg2	valgrind	0
this program compiles and runs with no errors. let’s see what valgrind will output.	valgrind	62
==29515== memcheck, a memory error detector ==29515== copyright (c) 2002-2015, and gnu gpl’d, by julian seward et al.	memory	22
==29515== using valgrind-3.11.0 and libvex; rerun with -h for copyright info ==29515== command: ./a ==29515== ==29515== invalid write of size 4 ==29515== at 0x400544: dummy_function (in /home/rafi/projects/exocpp/a) ==29515== by 0x40055a: main (in /home/rafi/projects/exocpp/a) ==29515== address 0x5203068 is 0 bytes after a block of size 40 alloc’d ==29515== at 0x4c2db8f: malloc (in /usr/lib/valgrind/vgpreload_memcheck-amd64-linux.so) ==29515== by 0x400537: dummy_function (in /home/rafi/projects/exocpp/a) ==29515== by 0x40055a: main (in /home/rafi/projects/exocpp/a) ==29515== ==29515== ==29515== heap summary: ==29515== in use at exit: 40 bytes in 1 blocks ==29515== total heap usage: 1 allocs, 0 frees, 40 bytes allocated ==29515== ==29515== leak summary: ==29515== definitely lost: 40 bytes in 1 blocks ==29515== indirectly lost: 0 bytes in 0 blocks ==29515== possibly lost: 0 bytes in 0 blocks ==29515== still reachable: 0 bytes in 0 blocks ==29515== suppressed: 0 bytes in 0 blocks ==29515== rerun with --leak-check=full to see details of leaked memory ==29515== ==29515== for counts of detected and suppressed errors, rerun with: -v ==29515== error summary: 1 errors from 1 contexts (suppressed: 0 from 0)	address	288
==29515== using valgrind-3.11.0 and libvex; rerun with -h for copyright info ==29515== command: ./a ==29515== ==29515== invalid write of size 4 ==29515== at 0x400544: dummy_function (in /home/rafi/projects/exocpp/a) ==29515== by 0x40055a: main (in /home/rafi/projects/exocpp/a) ==29515== address 0x5203068 is 0 bytes after a block of size 40 alloc’d ==29515== at 0x4c2db8f: malloc (in /usr/lib/valgrind/vgpreload_memcheck-amd64-linux.so) ==29515== by 0x400537: dummy_function (in /home/rafi/projects/exocpp/a) ==29515== by 0x40055a: main (in /home/rafi/projects/exocpp/a) ==29515== ==29515== ==29515== heap summary: ==29515== in use at exit: 40 bytes in 1 blocks ==29515== total heap usage: 1 allocs, 0 frees, 40 bytes allocated ==29515== ==29515== leak summary: ==29515== definitely lost: 40 bytes in 1 blocks ==29515== indirectly lost: 0 bytes in 0 blocks ==29515== possibly lost: 0 bytes in 0 blocks ==29515== still reachable: 0 bytes in 0 blocks ==29515== suppressed: 0 bytes in 0 blocks ==29515== rerun with --leak-check=full to see details of leaked memory ==29515== ==29515== for counts of detected and suppressed errors, rerun with: -v ==29515== error summary: 1 errors from 1 contexts (suppressed: 0 from 0)	memory	1056
==29515== using valgrind-3.11.0 and libvex; rerun with -h for copyright info ==29515== command: ./a ==29515== ==29515== invalid write of size 4 ==29515== at 0x400544: dummy_function (in /home/rafi/projects/exocpp/a) ==29515== by 0x40055a: main (in /home/rafi/projects/exocpp/a) ==29515== address 0x5203068 is 0 bytes after a block of size 40 alloc’d ==29515== at 0x4c2db8f: malloc (in /usr/lib/valgrind/vgpreload_memcheck-amd64-linux.so) ==29515== by 0x400537: dummy_function (in /home/rafi/projects/exocpp/a) ==29515== by 0x40055a: main (in /home/rafi/projects/exocpp/a) ==29515== ==29515== ==29515== heap summary: ==29515== in use at exit: 40 bytes in 1 blocks ==29515== total heap usage: 1 allocs, 0 frees, 40 bytes allocated ==29515== ==29515== leak summary: ==29515== definitely lost: 40 bytes in 1 blocks ==29515== indirectly lost: 0 bytes in 0 blocks ==29515== possibly lost: 0 bytes in 0 blocks ==29515== still reachable: 0 bytes in 0 blocks ==29515== suppressed: 0 bytes in 0 blocks ==29515== rerun with --leak-check=full to see details of leaked memory ==29515== ==29515== for counts of detected and suppressed errors, rerun with: -v ==29515== error summary: 1 errors from 1 contexts (suppressed: 0 from 0)	block	325
==29515== using valgrind-3.11.0 and libvex; rerun with -h for copyright info ==29515== command: ./a ==29515== ==29515== invalid write of size 4 ==29515== at 0x400544: dummy_function (in /home/rafi/projects/exocpp/a) ==29515== by 0x40055a: main (in /home/rafi/projects/exocpp/a) ==29515== address 0x5203068 is 0 bytes after a block of size 40 alloc’d ==29515== at 0x4c2db8f: malloc (in /usr/lib/valgrind/vgpreload_memcheck-amd64-linux.so) ==29515== by 0x400537: dummy_function (in /home/rafi/projects/exocpp/a) ==29515== by 0x40055a: main (in /home/rafi/projects/exocpp/a) ==29515== ==29515== ==29515== heap summary: ==29515== in use at exit: 40 bytes in 1 blocks ==29515== total heap usage: 1 allocs, 0 frees, 40 bytes allocated ==29515== ==29515== leak summary: ==29515== definitely lost: 40 bytes in 1 blocks ==29515== indirectly lost: 0 bytes in 0 blocks ==29515== possibly lost: 0 bytes in 0 blocks ==29515== still reachable: 0 bytes in 0 blocks ==29515== suppressed: 0 bytes in 0 blocks ==29515== rerun with --leak-check=full to see details of leaked memory ==29515== ==29515== for counts of detected and suppressed errors, rerun with: -v ==29515== error summary: 1 errors from 1 contexts (suppressed: 0 from 0)	valgrind	16
invalid write: it detected our heap block overrun, writing outside of an allocated block.	block	36
definitely lost: memory leak — you probably forgot to free a memory block.	memory	17
definitely lost: memory leak — you probably forgot to free a memory block.	block	68
valgrind is a effective tool to check for errors at runtime. c is special when it comes to such behavior, so after compiling your program you can use valgrind to fix errors that your compiler may miss and that usually happens when your program is running.	valgrind	0
threadsanitizer is a tool from google, built into clang and gcc, to help you detect race conditions in your code [5]. note, that running with tsan will slow your code down a bit. consider the following code.	the following	188
threadsanitizer is a tool from google, built into clang and gcc, to help you detect race conditions in your code [5]. note, that running with tsan will slow your code down a bit. consider the following code.	thread	0
threadsanitizer is a tool from google, built into clang and gcc, to help you detect race conditions in your code [5]. note, that running with tsan will slow your code down a bit. consider the following code.	code	108
threadsanitizer is a tool from google, built into clang and gcc, to help you detect race conditions in your code [5]. note, that running with tsan will slow your code down a bit. consider the following code.	threadsanitizer	0
we can see that there is a race condition on the variable global. both the main thread and created thread will try to change the value at the same time. but, does threadsantizer catch it?	thread	80
$ ./a.out ================== warning: threadsanitizer: data race (pid=28888) read of size 4 at 0x7f73ed91c078 by thread t1: #0 thread1 /home/zmick2/simple_race.c:7 (exe+0x000000000a50) #1 :0 (libtsan.so.0+0x00000001b459) previous write of size 4 at 0x7f73ed91c078 by main thread: #0 main /home/zmick2/simple_race.c:14 (exe+0x000000000ac8) thread t1 (tid=28889, running) created by main thread at: #0 :0 (libtsan.so.0+0x00000001f6ab) #1 main /home/zmick2/simple_race.c:13 (exe+0x000000000ab8)	thread	38
$ ./a.out ================== warning: threadsanitizer: data race (pid=28888) read of size 4 at 0x7f73ed91c078 by thread t1: #0 thread1 /home/zmick2/simple_race.c:7 (exe+0x000000000a50) #1 :0 (libtsan.so.0+0x00000001b459) previous write of size 4 at 0x7f73ed91c078 by main thread: #0 main /home/zmick2/simple_race.c:14 (exe+0x000000000ac8) thread t1 (tid=28889, running) created by main thread at: #0 :0 (libtsan.so.0+0x00000001f6ab) #1 main /home/zmick2/simple_race.c:13 (exe+0x000000000ab8)	threadsanitizer	38
summary: threadsanitizer: data race /home/zmick2/simple_race.c:7 thread1 ================== threadsanitizer: reported 1 warnings	thread	9
summary: threadsanitizer: data race /home/zmick2/simple_race.c:7 thread1 ================== threadsanitizer: reported 1 warnings	threadsanitizer	9
2.4 gdb	gdb	4
gdb is short for the gnu debugger. gdb is a program that helps you track down errors by interactively debugging them [6]. it can start and stop your program, look around, and put in ad hoc constraints and checks. here are a few examples.	gdb	0
setting breakpoints programmatically a breakpoint is a line of code where you want the execution to stop and give control back to the debugger. a useful trick when debugging complex c programs with gdb is setting breakpoints in the source code.	code	63
setting breakpoints programmatically a breakpoint is a line of code where you want the execution to stop and give control back to the debugger. a useful trick when debugging complex c programs with gdb is setting breakpoints in the source code.	a breakpoint	37
setting breakpoints programmatically a breakpoint is a line of code where you want the execution to stop and give control back to the debugger. a useful trick when debugging complex c programs with gdb is setting breakpoints in the source code.	gdb	198
$ gcc main.c -g -o main $ gdb --args ./main (gdb) r [...] program received signal sigtrap, trace/breakpoint trap.	gdb	26
main () at main.c:6 6 val = 7; (gdb) p val $1 = 42	gdb	32
$ gcc main.c -g -o main $ gdb --args ./main (gdb) break main.c:4 [...] (gdb) p val $1 = 42	gdb	26
checking memory content we can also use gdb to check the content of different pieces of memory. for example,	memory	9
checking memory content we can also use gdb to check the content of different pieces of memory. for example,	gdb	40
int main() { char bad_string[3] = {’c’, ’a’, ’t’}; printf("%s", bad_string); }	string	22
int main() { char bad_string[3] = {’c’, ’a’, ’t’}; printf("%s", bad_string); }	printf	51
we can now use gdb to look at specific bytes of the string and reason about when the program should’ve stopped running	string	52
we can now use gdb to look at specific bytes of the string and reason about when the program should’ve stopped running	gdb	15
(gdb) l 1 #include <stdio.h> 2 int main() { 3 char bad_string[3] = {’c’, ’a’, ’t’}; 4 printf("%s", bad_string); 5 } (gdb) b 4 breakpoint 1 at 0x100000f57: file main.c, line 4.	string	55
(gdb) l 1 #include <stdio.h> 2 int main() { 3 char bad_string[3] = {’c’, ’a’, ’t’}; 4 printf("%s", bad_string); 5 } (gdb) b 4 breakpoint 1 at 0x100000f57: file main.c, line 4.	gdb	1
(gdb) l 1 #include <stdio.h> 2 int main() { 3 char bad_string[3] = {’c’, ’a’, ’t’}; 4 printf("%s", bad_string); 5 } (gdb) b 4 breakpoint 1 at 0x100000f57: file main.c, line 4.	printf	86
(gdb) r [...] breakpoint 1, main () at main.c:4 4 printf("%s", bad_string);	string	67
(gdb) r [...] breakpoint 1, main () at main.c:4 4 printf("%s", bad_string);	gdb	1
(gdb) r [...] breakpoint 1, main () at main.c:4 4 printf("%s", bad_string);	printf	50
(gdb) x/16xb bad_string 0x7fff5fbff9cd: 0x63 0x61 0x74 0xe0 0xf9 0xbf 0x5f 0xff 0x7fff5fbff9d5: 0x7f 0x00 0x00 0xfd 0xb5 0x23 0x89 0xff (gdb)	string	17
(gdb) x/16xb bad_string 0x7fff5fbff9cd: 0x63 0x61 0x74 0xe0 0xf9 0xbf 0x5f 0xff 0x7fff5fbff9d5: 0x7f 0x00 0x00 0xfd 0xb5 0x23 0x89 0xff (gdb)	gdb	1
here, by using the x command with parameters 16xb, we can see that starting at memory address 0x7fff5fbff9c (value of bad_string), printf would actually see the following sequence of bytes as a string because we provided a malformed string without a null terminator.	the following	157
here, by using the x command with parameters 16xb, we can see that starting at memory address 0x7fff5fbff9c (value of bad_string), printf would actually see the following sequence of bytes as a string because we provided a malformed string without a null terminator.	address	86
here, by using the x command with parameters 16xb, we can see that starting at memory address 0x7fff5fbff9c (value of bad_string), printf would actually see the following sequence of bytes as a string because we provided a malformed string without a null terminator.	string	122
here, by using the x command with parameters 16xb, we can see that starting at memory address 0x7fff5fbff9c (value of bad_string), printf would actually see the following sequence of bytes as a string because we provided a malformed string without a null terminator.	memory	79
