sentence	source
and program to run and maybe you want to specify some optional arguments to pass that program ok let's have a new line at the end ok watch that percent sp it should be the string at that very first entry of that little table we drew ok after that do not continue do not collect two hundred dollars etc do not play monopoly instead exit with an error code right so down here now we want to call exec so i'm going to call exec and i want to use your version i want to use a path please so you don't have to specify the exact location on the file system ok so in here i need to program dayton let's have a variable that does that and then what about my array well i don't want to start at the beginning i don't want to give it the address of that little table the beginning i want to move forward by one i want to give my process name i wanted to pass in whatever i want to pass in where my table starts and the first thing is give me the program we want to run ok so we do argv plus one we want to move advance to that second pointer in that away and let's hope it fails i'm sorry succeeds if it fails then we're going to get to line eleven time to print something out so we can say exact failed and maybe going to find out a little bit more about why and then again let's exit with an error value k	['code', 'string', 'address', 'system', 'pointer']
and secondly what value do you think might be in there were malik for performance makes no guarantees about the contents of the memory that it gives you it could be all zeros because you put your nice new fresh process and for security the kernel is giving you piece of ramp that it is personally zeroed out just for you or it could be that you been calling malloc and free a lot and so now you're malloc your heat memory looks like an old dirty sock drawer where bits of memory a cold hole arbitrary values from previous malloc calls and so we are just treating it as a struct but actually all the memory is just a whole lot of zeros and ones so the value that you're going to see for this next pointer it's completely arbitrary even if we hadn't freed it so that's several mistakes here if we actually want to use things then don't freedom first only freedom after you've finished using them and better code would then set this next pointer to zero after after freeing it but so so this is a good good example of how not to write link this code with that let's finish this lecture have a great time thank you and goodbye	['memory', 'a struct', 'code', 'pointer']
and so what do we do we take something out of the data structure and then will print this thread managed to eat this and in fact this code is going to be run by multiple threats ok we're going to have two threads trying to eat cookies at the same time ok but will protect our data structure by the use of this peter mutex lock ok we need to weigh to add things to a data structure and so here is my little add cookie notice that i've got i protected my change the data structure using using the lock and after modifying the data structure i'm also going to broadcast so anybody any thread that happens to be sleeping inside the condition available will be working up	['the data structure', 'a struct', 'code', 'thread']
and that will release the lock whilst it's blocking ok so here's our condition variable that were going to sleep in and watched was sleeping unlock that mutex and then before returning lock it again so the big idea here is that in all the code that we write let's do i make a highlighter well let's do it like like a yellow ok it all this code every single piece of this	['block', 'code', 'block', 'code', 'block', 'code', 'block', 'code']
and then here's an expression to read that value how does this work ok so we know when finally were assigned a new cpu to start this function that we're given address what do i want to do with that address well i know something is stored there and i know that that's something isn't is just so in fact i want to treat that address as an integer pointer great so now i have that integer pointer i actually want to read whatsapp their contents so let me dereference it with little ass tricks there ok so we've got the value now we've been seeing how we can create p thread i ds	['thread', 'address', 'pointer', 'thread', 'address', 'pointer', 'thread', 'address', 'pointer']
and then i don't want to pass in the address if i instead i want to pass in my pointer to one of these you introduce i've just created so starting values and i could say take the ice warren i want the address of that but you know that we can also write that is just ok here's the start of the array i want the offset of ips and will use integer arithmetic ok so we've initialized array let's give this ago and off we go so will compile it ok	['address', 'pointer', 'address', 'pointer']
and then i've got also my stack another variable core pointer and what type is it it's a pointer never mind what it points to simply by the fact that it has to point to any memory address means that it's going to need to be the right number of bytes queso say on a thirty two bit machine that will be four bites on a sixty four bit machine will be a preds ok so will pretend that i've made a one two three four five six seven ok have one more byte there we go by eight bytes there and what do we put inside this these eight bytes the memory address of a literally it's looking at a it's holding that address and then we have another variable called child when we put that in here these will stack variables and we call fork right ok and what do we do inside the child rights so if with a child we do reference or pointer and we change the value to twenty in other words in the child we are writing the value or twenty inside the area here so we're going to put stupid little arrow have a blue blue arrow key	['memory', 'type', 'address', 'pointer']
and then they call same way on s one but we've already incremented it's once they get to continue and then post on some post which will never block and now they overwrite their buffers so it's pretty big unhappy space here yes we've seen a problem here of overflow buffer overflow we overrode a value that we actually need we actually managed to put too much stuff into the buffer now the chances of that happening are pretty small is this very small number of microseconds between us calling sam post and then asking for the mutex lock but that is a non zero value also notice it's actually only really going to be a problem when my buffer is actually completely full so perhaps under light testing or if your website doesn't have many customers then you're not going to see this problem it's only when your buffer actually hit capacity do you have exposure to this problem ok so that's kind of fun stuff to think about reasoning about code like this is tricky my advice is to think about kind of the extreme conditions like underflow and the overflow and what happens if you have say two threads appearing at the same time and what would happen if just before you acquire the mutex lock another thread was able to acquire it instead	['block', 'code', 'thread', 'block', 'code', 'thread', 'block', 'code', 'thread', 'block', 'code', 'thread']
and then we say well while fireworks is zero corporate recognition weight in other words if my firework thread starts up here and it starts up early then we're just going to block it for but we're going to ask it to release the mutex lock and lock inside here so go back to the kind of first code remember we created all of the threads initially back when are fireworks variable with zero it's only after we've created all five	['block', 'code', 'thread', 'block', 'code', 'thread', 'block', 'code', 'thread', 'block', 'code', 'thread', 'block', 'code', 'thread', 'block', 'code', 'thread']
and then when you first create a thread it will inherit the signal mask of of the creating threat basically if you like his parent thread that created the feather called preferred create so it's pretty common to see multithreaded code first of all set the signal mask to say hey just block all signals i don't want to know about them right now then create all the threads that needs and then inside say one thread start changing the signal mass to say ok this is the thread that i want to be interrupted in order to process in order to run the signal handlers	['block', 'code', 'a thread', 'thread']
and then will print out that message alright so we expect to see some message involving an grove and illinois meanwhile i have another thread that doesn't print anything all it does it just calls two text message at the same time so let's see if we run into any problems here because it looks like this is a completely useless thread right it doesn't actually do anything with the result it just keeps on calling text message so my question to this is problem are we going to run into any kind of critical sections here can we find any race conditions to answer that we actually need to understand more about two text message now i'm already a little concerned about it because it clearly returns a pointer here which we never free so i that is appointed to some global memory or like a static variable or this is generating	['memory', 'section', 'thread', 'pointer']
and they call lock on the same mutex lock ok can they carry on and execute their next piece of code no there blocked there stuck in effect that cpu goes to sleep in practice the kernel can say oh i can see you you're stuck right now you're short order cook can't device because there is no voice yet so i'm actually going to sign the physical cpu to do something else i've got another thread that would love to get started love to get do some work right now so let me tell us you're going to do something else but from this thread perspective nothing was going to happen it does not pass go does not execute the next line of code until the day that our thread one has finished doing what it's doing inside those critical section	['block', 'code', 'section', 'thread']
and to make it tricky we're not going to use any counters we're just going to use pointer arithmetic ok so here's the challenge denton right so i'm going to take a memory address which will be the value of where this array starts in memory it's actual memory location and i want to keep walking through that reading each integer until i find negative one so his head will do this then so i'll have another variable my little pointer here and that's what we're going to keep changing and will keep incrementing it until we get to that negative one so it's so i want to see the value of the current address so let's use that point to remember pointers are meant to be used most of the time let's actually dereference him let's actually go and read the stuff at that memory right so once that is not equal to negative one what i want to do is change my pointer what do i want to move it to the next values so i could write pointer equals point oh plus one but i could shorten that two plus plus and with pointer arithmetic if we add one the compilers going today or this pointer points to integers so i need to move it not just one bite forward but enough bytes forward so that it can actually access the next integer so the type is always used with the pointer arithmetic right so we're going to go round and we're going to keep moving forward reading integers hopefully we're going to find that negative one at some point which point how can we discover the integer well so i discovered the number of items we need to read so items into the interval before validated was found so here's kind of the big surprise if i now take that address and subtract off the other address of where we started then that subtraction again is pointer arithmetic which means that the size of the pointers matches so this won't tell me the number of bytes between where we ended up and where we started will actually tell me the number of integers that we needed to advance in order to find that negative one so that's kind of a fun little pointer arithmetic problem and in the next video what are we going to do yes i'm going to challenge for you how could we possibly be that p one and p two actually refer to the same memory location as it did that in the next video bye	['memory', 'type', 'address', 'pointer']
and typically with these design languages you have to declare whether a parameter is read in or right out or both so for example we might say that this parameter is something which is the value is passed into the function rather than being sent out of the function and the joy of using an idl is that we can specify these high level descriptions of each function and then just crank the handle hit go and our our rpc tools will automatically generate all the marshaling code force you've seen this already with rpc jen which has its one his own version of an idl an idl can get more complicated than this when we start talking about structures and composite types we're going to mention a couple of other examples of this where we are in terms of google protocol buffers but that's it for this video in their next video i'm gonna talk about complexity and the latency of yor pc calls so expensive ok bye for now	['type', 'parameter', 'code', 'protocol buffers']
and we want to find ways to ensure the only one thread enter the critical section at a time so this is actually a classic operating system problem because critical sections occur all over the place inside the kernel because there's so much concurrency going on and can we kind of find a way to write code to ensure that	['code', 'section', 'thread', 'system']
and what about the actual protections for each page of memory ok so we want to be able to read and we want to be able to write to these pages of memory but i don't need to be able to execute them i don't care where inside my virtual address space this memory ends up and i want four thousand and ninety six bytes please ok so if this succeeds great i get it back a pointer which i can actually start to use it will be the contents of alice dot text but we of course were able to change it so let's do that right so here's a little demo where i'm actually going to now do some communication between a parent and a child so strong copy and i can copy contents directly into that memory location so here's the child writing something into there and what about the parent the parent can read from the same address now back at the beginning of two forty one and we talked about forking we said hey these are completely different address spaces and actually there are no longer connected after you called fork ok well guess what that was a little lie why because you couldn't handle the truth but now let's actually have a look at the truth with mmap we can share things and this is the really cool part of mapping memory here that both the child and the parents will see this piece of memory and it will be the same piece of memory the same physical piece of ram for both the parent and the child for this particular mapping to alice dot text so the moment that the child starts writing into those piece that pieces of ramp the parent can read it as well so isn't that cool let's actually kind of a look at this let's actually do some rp cs sorry some interprocess communication some ipc between the parent and a child so off we go right	['memory', 'mmap', 'address', 'pointer']
and what can i do with them ok so a lot doesn't support that many operations we can lock it and unlock it so let's have a look at that code and big important idea is before we're out allowed to lock and unlock the mutex i have to initialize it so there's a couple of ways you can do that guess what you can say pthread mutex iniciat and pass in a lock and one of the great things about pizza it's implementation of mutex locks is that we can actually pass in a few attributes like we can set it up to debug we can actually create recursive locks but i'm going to anyway we're going to stick with this vanilla logs today again this is kind of one of the example where where the posix implementation the positive definition of mutex logs goes a little bit further than what the new c standards do ok so i want to initialize my lock and i'm not going to pass in any special attributes today right so that's one way of doing it	['code', 'thread', 'code', 'thread']
"and when we want to ensure good performance as well. because the c library, when we actually say, """"""hey, print out the following numbers for me or send me to"" """"""send the following strings,"""" isn't necessarily"" going to immediately call write. it's not immediately going to call the system. instead, for performance, it may choose to buffer all of that content inside the memory until the day that we decide to flush it out until the day we decide to send it. so let's turn our attention then to the kind of c library version of the world where,"	['the following', 'memory', 'string', 'system']
are we done no well ok you just typed a character but how is that character represented we're so used to thinking about the fact that we're writing in say ascii or utf eight that doesn't actually have to be the only way that we can represent our data so for example perhaps you want to store and send pictures using a jpeg format or perhaps you want to send a text using this ebcdic format which is a different way to represent characters or perhaps you want to use png so perhaps you want to do movies etc ok are we done no at the top most level is the idea of the application so at the application level, we get to define our own apis we get to define how we want to access remote files and resources and describe things like directory services as well so this top most level this is where we start talking about ok i want to be able to access web resources using http which itself is a protocol that grew out of a simple file transfer protocol and another well known protocol here is smtp which is a way for us to send emails simple mail transfer protocol so smtp allows you to send very simple messages or to send emails with attachments for example ok so these different levels of abstraction allow us to work independently so for example tomorrow i might decide that as you want to access a web page not over tcp but over udp of course if i do that then my web client better be able to actually handle udp connections and also my web server needs to be able to handle udp connections does it happen today yes surprising it does so if you happen to be a rather large company called google for example you might actually decide that you want to implement your own connections using udp and you can do this because you own both parts of the network you own both the client and the server also tomorrow you might decide that you want to support not only ip four but ip six as well and you might do this because you actually want to start creating new servers and yeah you're unable to get an existing ip four address ok so that's a little bit about the open systems interconnection model or the osi model	['a protocol', 'type', 'resources', 'address', 'system']
