Line	Processed_line
board of directors The individuals who are elected by stockholders of a corporation to represent their interests.	board of directors the individuals who are elected by stockholders of a corporation to represent their interests .
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
corporation can be more complex and expensive than forming a sole proprietorship or partnership. Corporations are also subject to more formal operating requirements. For example, they are required to hold regular board meetings and keep accurate minutes.	corporation can be more complex and expensive than forming a sole proprietorship or partnership . corporations are also subject to more formal operating requirements . for example , they are required to hold regular board meetings and keep accurate minutes .
One State: When a business that's incorporated in one state does business in other states, it's called a “­domestic corporation” in the state where it's incorporated, and a “foreign corporation” in the other states. A corporation must register (or “qualify”) as a foreign corporation in order to do business in any state other than the one in which it incorporated. This typically requires additional paperwork, fees, and taxes. But registration as a foreign corporation is only necessary if the company is involved in substantial business activities within the state.	one state : when a business that 's incorporated in one state does business in other states , it 's called a “ ­domestic corporation ” in the state where it 's incorporated , and a “ foreign corporation ” in the other states . a corporation must register ( or “ qualify ” ) as a foreign corporation in order to do business in any state other than the one in which it incorporated . this typically requires additional paperwork , fees , and taxes . but registration as a foreign corporation is only necessary if the company is involved in substantial business activities within the state .
Businesses that only engage in minor business activities typically are exempt from the registration requirement. For example, a firm operating a production facility or maintaining a district office in a state other than its corporate home would need to register as a foreign corporation, but a firm that simply held a bank account or solicited sales to customers in that state through the mail would not be required to do so.	businesses that only engage in minor business activities typically are exempt from the registration requirement . for example , a firm operating a production facility or maintaining a district office in a state other than its corporate home would need to register as a foreign corporation , but a firm that simply held a bank account or solicited sales to customers in that state through the mail would not be required to do so .
Taxes: The IRS considers a C corporation to be a separate legal entity and taxes its earnings accordingly.	taxes : the irs considers a c corporation to be a separate legal entity and taxes its earnings accordingly .
Then, as shown in Exhibit 6.4, any dividends (earnings the corporation distributes to stockholders) are taxed again as the personal income of the stockholders. This double taxation can take a big bite out of earnings	then , as shown in exhibit 6.4 , any dividends ( earnings the corporation distributes to stockholders ) are taxed again as the personal income of the stockholders . this double taxation can take a big bite out of earnings
that are distributed to shareholders. But note that corporations often reinvest some or all of their profits back into the business. Shareholders don't pay income taxes on these retained earnings. Many states also impose separate income taxes on corporations. Most states also impose an annual franchise tax on both domestic and foreign corporations that operate within their borders.	that are distributed to shareholders . but note that corporations often reinvest some or all of their profits back into the business . shareholders do n't pay income taxes on these retained earnings . many states also impose separate income taxes on corporations . most states also impose an annual franchise tax on both domestic and foreign corporations that operate within their borders .
Secrecy: Corporations are more closely regulated and are required to file more government paperwork than other forms of business. Large, publicly traded corporations are required to send annual statements to all shareholders and to file detailed quarterly and annual reports with the Securities and Exchange Commission (SEC). The annual report filed with the SEC (called a Form 10-K) is often hundreds of pages long and includes a wealth of information about the company's operations and financial condition. Anyone can look at these forms, making it difficult to keep key corporate information secret from competitors.	secrecy : corporations are more closely regulated and are required to file more government paperwork than other forms of business . large , publicly traded corporations are required to send annual statements to all shareholders and to file detailed quarterly and annual reports with the securities and exchange commission ( sec ) . the annual report filed with the sec ( called a form 10 - k ) is often hundreds of pages long and includes a wealth of information about the company 's operations and financial condition . anyone can look at these forms , making it difficult to keep key corporate information secret from competitors .
“General Electric, one of the largest corporations in America, filed a whopping 57,000-page federal tax return …[which] would have been 19 feet high if printed out and stacked.”	“ general electric , one of the largest corporations in america , filed a whopping 57,000 - page federal tax return … [ which ] would have been 19 feet high if printed out and stacked . ”
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
Earnings pass through the company and are taxed only as income to stockholders, thus avoiding the problem of double taxation associated with C corporations.	earnings pass through the company and are taxed only as income to stockholders , thus avoiding the problem of double taxation associated with c corporations .
corporations. For example, it doesn't have to elect a board of directors or hold an annual stockholders' meeting.	corporations . for example , it does n't have to elect a board of directors or hold an annual stockholders ' meeting .
Possible Conflicts of Interest: The corporate officers appointed by the board are supposed to further the interests of stockholders. But some top executives pursue policies that further their own interests	possible conflicts of interest : the corporate officers appointed by the board are supposed to further the interests of stockholders . but some top executives pursue policies that further their own interests
(such as prestige, power, job security, high pay, and attractive perks) at the expense of the stockholders.	( such as prestige , power , job security , high pay , and attractive perks ) at the expense of the stockholders .
The board of directors has an obligation to protect the interests of stockholders, but in recent years the boards of several major corporations have come under criticism for continuing to approve high compensation packages for top executives, even when their companies performed poorly.	the board of directors has an obligation to protect the interests of stockholders , but in recent years the boards of several major corporations have come under criticism for continuing to approve high compensation packages for top executives , even when their companies performed poorly .
statutory close (or closed) corporation A corporation with a limited number of owners that operates under simpler, less formal rules than a C corporation.	statutory close ( or closed ) corporation a corporation with a limited number of owners that operates under simpler , less formal rules than a c corporation .
nonprofit corporation A corporation that does not seek to earn a profit and differs in several fundamental respects from C corporations.	nonprofit corporation a corporation that does not seek to earn a profit and differs in several fundamental respects from c corporations .
government agency. Also like general corporations, these corporations are considered legal entities that stand apart from their owners and can enter into contracts, own property, and take legal action in their own names. But in other key respects they are quite different from C corporations— and from each other. Exhibit 6.5 summarizes the basic features of these corporations.	government agency . also like general corporations , these corporations are considered legal entities that stand apart from their owners and can enter into contracts , own property , and take legal action in their own names . but in other key respects they are quite different from c corporations — and from each other . exhibit 6.5 summarizes the basic features of these corporations .
Large corporations constantly look for ways to grow and achieve competitive advantages. Some corporations work to achieve these goals, at least in part, through mergers, acquisitions, and divestitures. We'll close our discussion of corporations by taking a quick look at these forms of corporate restructuring.	large corporations constantly look for ways to grow and achieve competitive advantages . some corporations work to achieve these goals , at least in part , through mergers , acquisitions , and divestitures . we 'll close our discussion of corporations by taking a quick look at these forms of corporate restructuring .
Mergers and Acquisitions In the news and casual conversation, the terms “merger” and “acquisition” are often used interchangeably. However, there's a difference between the two. An acquisition occurs when one firm buys another firm. The firm making the purchase is called the	mergers and acquisitions in the news and casual conversation , the terms “ merger ” and “ acquisition ” are often used interchangeably . however , there 's a difference between the two . an acquisition occurs when one firm buys another firm . the firm making the purchase is called the
“target firm.” After the acquisition, the target firm ceases to exist as an independent entity while the purchasing firm continues in operation, and its stock is still traded. But not all acquisitions are on friendly terms. When the acquiring firm buys the target firm despite the opposition of the target's board and top management, the result is called a	“ target firm . ” after the acquisition , the target firm ceases to exist as an independent entity while the purchasing firm continues in operation , and its stock is still traded . but not all acquisitions are on friendly terms . when the acquiring firm buys the target firm despite the opposition of the target 's board and top management , the result is called a
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
Provide tighter integration of producA combination of firms that are at different stages in the produc- tion and increased control over the tion of a good or service, creating supply of crucial inputs. a “buyer-seller” relationship.	provide tighter integration of produca combination of firms that are at different stages in the produc- tion and increased control over the tion of a good or service , creating supply of crucial inputs . a “ buyer - seller ” relationship .
500 firm and the largest chemical firm in China, acquired Swiss-based Sygenta AG, which sells pesticides and soybean seeds, for $43 million.	500 firm and the largest chemical firm in china , acquired swiss - based sygenta ag , which sells pesticides and soybean seeds , for $ 43 million .
Chinese-based Midea, a maker of consumer appliances and heating, ventilation, and air-conditioning systems, acquired Kuka AG, a	chinese - based midea , a maker of consumer appliances and heating , ventilation , and air - conditioning systems , acquired kuka ag , a
In a merger, instead of one firm buying the other, the two companies agree to a combination of equals, joining together to form a new company out of the two previously independent firms. Exhibit 6.6 describes the three most common types of corporate combinations.	in a merger , instead of one firm buying the other , the two companies agree to a combination of equals , joining together to form a new company out of the two previously independent firms . exhibit 6.6 describes the three most common types of corporate combinations .
c­ orporations restructure by subtraction rather than by addition. A divestiture occurs when a firm transfers total or partial ownership of some of its operations to investors or to another company. Firms often use divestitures to rid themselves of a part of their company that	c­ orporations restructure by subtraction rather than by addition . a divestiture occurs when a firm transfers total or partial ownership of some of its operations to investors or to another company . firms often use divestitures to rid themselves of a part of their company that
In February 2017, Time Warner shareholders voted overwhelmingly in favor of an $85.4 billion merger with telecom giant AT&T. Shareholder approval was largely expected. Governmental approval, on the other hand, could prove more challenging.	in february 2017 , time warner shareholders voted overwhelmingly in favor of an $ 85.4 billion merger with telecom giant at&t. shareholder approval was largely expected . governmental approval , on the other hand , could prove more challenging .
no longer fits well with their strategic plans. This allows them to streamline their operations and focus on their core businesses. In many (but not all) cases, divestitures involve the sale of assets to outsiders, which raises financial capital for the firm.	no longer fits well with their strategic plans . this allows them to streamline their operations and focus on their core businesses . in many ( but not all ) cases , divestitures involve the sale of assets to outsiders , which raises financial capital for the firm .
One common type of divestiture, called a “spin-off,” occurs when a company issues stock in one of its own divisions or operating units and sets it up as a separate company—complete with its own board of directors and corporate officers. It then distributes the stock in the new company to its existing stockholders. After the spin-off, the stockholders end up owning two separate companies rather than one. They can then buy, sell, or hold either (or both) stocks as they see fit. While a spinoff allows a corporation to eliminate a division that no longer fits in its plans, it doesn't actually generate horizontal merger A any additional funds for combination of two firms that are in the same industry. the firm.	one common type of divestiture , called a “ spin - off , ” occurs when a company issues stock in one of its own divisions or operating units and sets it up as a separate company — complete with its own board of directors and corporate officers . it then distributes the stock in the new company to its existing stockholders . after the spin - off , the stockholders end up owning two separate companies rather than one . they can then buy , sell , or hold either ( or both ) stocks as they see fit . while a spinoff allows a corporation to eliminate a division that no longer fits in its plans , it does n't actually generate horizontal merger a any additional funds for combination of two firms that are in the same industry . the firm .
A “carve-out” is like vertical merger A a spin-off in that the firm combination of firms at different stages in the production of a converts a particular unit or good or service. division into a separate company and issues stock in the conglomerate merger A combination of two firms that are newly created corporation. in unrelated industries.	a “ carve - out ” is like vertical merger a a spin - off in that the firm combination of firms at different stages in the production of a converts a particular unit or good or service . division into a separate company and issues stock in the conglomerate merger a combination of two firms that are newly created corporation . in unrelated industries .
However, instead of distributing the new stock to its merger A corporate restructuring that occurs when current stockholders, it sells two formerly independent the stock to outside invesbusiness entities combine to form tors, thus raising additional a new organization. financial capital. In many divestiture The transfer of cases, the firm sells only a total or partial ownership of some minority of the total shares, of a firm's operations to investors so that it maintains majority or to another company. ownership.	however , instead of distributing the new stock to its merger a corporate restructuring that occurs when current stockholders , it sells two formerly independent the stock to outside invesbusiness entities combine to form tors , thus raising additional a new organization . financial capital . in many divestiture the transfer of cases , the firm sells only a total or partial ownership of some minority of the total shares , of a firm 's operations to investors so that it maintains majority or to another company . ownership .
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
Companies use divestiture to transfer total or partial ownership of some of their operations to investors or to another company. When a part of a company no longer fits strategically, divesting allows the firm to streamline operations and refocus on its core business.	companies use divestiture to transfer total or partial ownership of some of their operations to investors or to another company . when a part of a company no longer fits strategically , divesting allows the firm to streamline operations and refocus on its core business .
A common divestiture, called a spin-off, occurs when a company sets up a division as a separate company—complete with its own board of directors, corporate officers, and stock. The parent company then distributes stock in the new company to its existing stockholders. After the spin-off, the stockholders own shares of two separate companies, which they can buy, sell, or hold like any other stock.	a common divestiture , called a spin - off , occurs when a company sets up a division as a separate company — complete with its own board of directors , corporate officers , and stock . the parent company then distributes stock in the new company to its existing stockholders . after the spin - off , the stockholders own shares of two separate companies , which they can buy , sell , or hold like any other stock .
Hewlett shared the rent of a home at 367 Addison Avenue in Palo Alto, California. Packard and his wife, Lucile, lived in the first-floor apartment, while	hewlett shared the rent of a home at 367 addison avenue in palo alto , california . packard and his wife , lucile , lived in the first - floor apartment , while
Bill Hewlett slept in a shed in the backyard. Their start-up company used the property's single-car garage as an office and workshop. The	bill hewlett slept in a shed in the backyard . their start - up company used the property 's single - car garage as an office and workshop . the
As the newest form of business ownership, state laws concerning the legal status and formation of LLCs are still evolving. Several states have recently revised their statutes to make forming LLCs simpler and to make transfer of ownership easier. Other states have kept more restrictive requirements intact. This diversity of state requirements, and the continuing evolution of LLC statutes, makes it difficult to provide meaningful generalizations about this form of ownership.16	as the newest form of business ownership , state laws concerning the legal status and formation of llcs are still evolving . several states have recently revised their statutes to make forming llcs simpler and to make transfer of ownership easier . other states have kept more restrictive requirements intact . this diversity of state requirements , and the continuing evolution of llc statutes , makes it difficult to provide meaningful generalizations about this form of ownership.16
In many respects, forming an LLC is similar to forming a corporation. As with corporations, LLCs are created by filing a document (which goes by a variety of names, such as certificate of organization or articles of organization) and ­paying filing fees in the state where the business is organized. Organizers of most LLCs also draft an operating agreement, which is similar to the bylaws of a corporation.	in many respects , forming an llc is similar to forming a corporation . as with corporations , llcs are created by filing a document ( which goes by a variety of names , such as certificate of organization or articles of organization ) and ­paying filing fees in the state where the business is organized . organizers of most llcs also draft an operating agreement , which is similar to the bylaws of a corporation .
But after eight decades in business, Hewlett-Packard announced in 2014 that it would spin off into two separate, publicly held companies. Today, HP Inc. makes and sells personal computers and printers. Hewlett Packard Enterprise (HPE) sells large computer servers, data storage and networking equipment, software, and consulting services. The primary reason for the divestiture was strategic. Hewlett-Packard CEO Meg Whitman	but after eight decades in business , hewlett - packard announced in 2014 that it would spin off into two separate , publicly held companies . today , hp inc. makes and sells personal computers and printers . hewlett packard enterprise ( hpe ) sells large computer servers , data storage and networking equipment , software , and consulting services . the primary reason for the divestiture was strategic . hewlett - packard ceo meg whitman
(who became HPE CEO) explained, “We're leaving behind a company that was very large, running two businesses that were very different. We're creating two new big companies, not bitesized morsels, with real capabilities to change things.”	( who became hpe ceo ) explained , “ we 're leaving behind a company that was very large , running two businesses that were very different . we 're creating two new big companies , not bitesized morsels , with real capabilities to change things . ”
The spin-off took a year of planning, as a team of 500 created, cloned, and tested 2,800 computer applications and 75,000 computer interfaces to ensure that each company's operations would not be affected by the change.	the spin - off took a year of planning , as a team of 500 created , cloned , and tested 2,800 computer applications and 75,000 computer interfaces to ensure that each company 's operations would not be affected by the change .
In the wake of the spin-off, the two companies have independent boards of directors and issue different shares of stock. As of	in the wake of the spin - off , the two companies have independent boards of directors and issue different shares of stock . as of
January 2017, HP Inc. (stock symbol HPQ) has 1.71 billion shares outstanding for a total market capitalization of $25.12 billion, while HPE (stock symbol HPE) has 1.66 billion shares outstanding and a total market capitalization of $38.09 billion.15	january 2017 , hp inc. ( stock symbol hpq ) has 1.71 billion shares outstanding for a total market capitalization of $ 25.12 billion , while hpe ( stock symbol hpe ) has 1.66 billion shares outstanding and a total market capitalization of $ 38.09 billion.15
Because LLCs are neither corporations nor partnerships, their owners are called members rather than stockholders or partners. Members of LLCs often manage their own company under an arrangement similar to the relationship among general partners in a partnership. However, some LLCs hire professional managers who have responsibilities much like those of the CEO and other top officers of ­corporations.	because llcs are neither corporations nor partnerships , their owners are called members rather than stockholders or partners . members of llcs often manage their own company under an arrangement similar to the relationship among general partners in a partnership . however , some llcs hire professional managers who have responsibilities much like those of the ceo and other top officers of ­corporations .
Tax Pass-Through: As mentioned at the beginning of this chapter, for tax purposes the owners of LLCs may elect to have their companies treated as either a corporation or a partnership—or even as a sole proprietorship if owned by a single person. The default tax classification for LLCs with more than one owner—and the one most	tax pass - through : as mentioned at the beginning of this chapter , for tax purposes the owners of llcs may elect to have their companies treated as either a corporation or a partnership — or even as a sole proprietorship if owned by a single person . the default tax classification for llcs with more than one owner — and the one most
LLCs choose—is the partnership option. Under this arrangement, there is no separate tax on the earnings of the company. Instead, earnings “pass through” the	llcs choose — is the partnership option . under this arrangement , there is no separate tax on the earnings of the company . instead , earnings “ pass through ” the
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
Operation: Unlike corporations, LLCs aren't required to hold regular board meetings. Also, LLCs are subject to less paperwork and fewer reporting requirements than corporations.	operation : unlike corporations , llcs are n't required to hold regular board meetings . also , llcs are subject to less paperwork and fewer reporting requirements than corporations .
Unlike S corporations, LLCs can have any number of owners. Also unlike S corporations, the owners of LLCs can include foreign investors and other corporations.	unlike s corporations , llcs can have any number of owners . also unlike s corporations , the owners of llcs can include foreign investors and other corporations .
file articles of organization and pay filing fees, LLCs can take more time and effort to form than sole proprietorships. In general, forming an LLC is also more difficult than creating a partnership. But as we mentioned ­earlier, the formation of a partnership	file articles of organization and pay filing fees , llcs can take more time and effort to form than sole proprietorships . in general , forming an llc is also more difficult than creating a partnership . but as we mentioned ­earlier , the formation of a partnership
requires a “meeting of the minds” of the partners, which isn't always easy to achieve. So in some cases, the formation of a partnership can prove to be every bit as challenging as the formation of an LLC.	requires a “ meeting of the minds ” of the partners , which is n't always easy to achieve . so in some cases , the formation of a partnership can prove to be every bit as challenging as the formation of an llc .
This eliminates the double taxation of profits that is endemic to general corporations. However, there are some cases where it makes sense for LLCs to elect to be taxed as a corporation. For example, the owner of a singleperson LLC can avoid paying self-employment taxes by electing to have the LLC treated as a corporation rather than as a sole proprietorship.	this eliminates the double taxation of profits that is endemic to general corporations . however , there are some cases where it makes sense for llcs to elect to be taxed as a corporation . for example , the owner of a singleperson llc can avoid paying self - employment taxes by electing to have the llc treated as a corporation rather than as a sole proprietorship .
Aspiring entrepreneurs don't need to build new businesses from scratch, however. With franchising, a franchisor licenses the franchisee to use its name, trademark, products, and business methods.	aspiring entrepreneurs do n't need to build new businesses from scratch , however . with franchising , a franchisor licenses the franchisee to use its name , trademark , products , and business methods .
In short, franchising allows a businessperson to launch a new business with the support of a successful brand and backed by a proven business model. Moreover, starting a franchise often costs less than starting a fresh new business.	in short , franchising allows a businessperson to launch a new business with the support of a successful brand and backed by a proven business model . moreover , starting a franchise often costs less than starting a fresh new business .
Thanks to crowded franchise markets, many franchisors have begun discounting initial franchisee fees and royalties. For example,	thanks to crowded franchise markets , many franchisors have begun discounting initial franchisee fees and royalties . for example ,
Cincinnati-based sports restaurant chain Buffalo Wings & Rings sold just three franchises in 2013. After cutting its franchisee fee from $35,000 to $5,000, however, the restaurant went on to sell 17 new franchises in 2014. Buffalo Wings & Rings' Director of Franchise	cincinnati - based sports restaurant chain buffalo wings & rings sold just three franchises in 2013 . after cutting its franchisee fee from $ 35,000 to $ 5,000 , however , the restaurant went on to sell 17 new franchises in 2014 . buffalo wings & rings ' director of franchise
$30,000 doesn't seem like a huge amount—but it is to those investors . . . [who] think about every penny they spend.”	$ 30,000 does n't seem like a huge amount — but it is to those investors . . . [ who ] think about every penny they spend . ”
While millions dream of running their own businesses, cost and inexperience are two big reasons one-third to one-quarter of small businesses fail within two years. Inexperienced entrepreneurs often struggle to get customers to buy from them rather than from existing businesses, and small business owners typically need a great deal of start-up capital to pay for offices, facilities, transportation, insurance, and salaries (but probably not for themselves until the business establishes itself financially). It's not easy!	while millions dream of running their own businesses , cost and inexperience are two big reasons one - third to one - quarter of small businesses fail within two years . inexperienced entrepreneurs often struggle to get customers to buy from them rather than from existing businesses , and small business owners typically need a great deal of start - up capital to pay for offices , facilities , transportation , insurance , and salaries ( but probably not for themselves until the business establishes itself financially ) . it 's not easy !
And once a franchise is successful, franchisors often offer even bigger discounts. Denny's restaurant chain, for instance, offers up to $1 million in discounts on fees for current franchisees who commit to opening six restaurants in untapped markets.	and once a franchise is successful , franchisors often offer even bigger discounts . denny 's restaurant chain , for instance , offers up to $ 1 million in discounts on fees for current franchisees who commit to opening six restaurants in untapped markets .
Again, not an easy task by any means, but certainly easier than opening six new restaurants from scratch.17	again , not an easy task by any means , but certainly easier than opening six new restaurants from scratch.17
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. WCN 02-200-203	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . wcn 02 - 200 - 203
Copyright 2019 Cengage Learning. All Rights Reserved. May not be copied, scanned, or duplicated, in whole or in part. Due to electronic rights, some third party content may be suppressed from the eBook and/or eChapter(s).	copyright 2019 cengage learning . all rights reserved . may not be copied , scanned , or duplicated , in whole or in part . due to electronic rights , some third party content may be suppressed from the ebook and/or echapter(s ) .
Editorial review has deemed that any suppressed content does not materially affect the overall learning experience. Cengage Learning reserves the right to remove additional content at any time if subsequent rights restrictions require it.	editorial review has deemed that any suppressed content does not materially affect the overall learning experience . cengage learning reserves the right to remove additional content at any time if subsequent rights restrictions require it .
LLCs must register or qualify to operate as “foreign” companies when they do business in states other than the state in which they were organized. This results in additional paperwork, fees, and taxes.	llcs must register or qualify to operate as “ foreign ” companies when they do business in states other than the state in which they were organized . this results in additional paperwork , fees , and taxes .
Limits on Types of Firms that Can Form LLCs: Most states do not permit banks, insurance companies, and nonprofit organizations to operate as LLCs.	limits on types of firms that can form llcs : most states do not permit banks , insurance companies , and nonprofit organizations to operate as llcs .
Differences in State Laws: As we've already mentioned, LLC laws are still evolving—and their specific requirements vary considerably among the states. In 2006, the National Conference of	differences in state laws : as we 've already mentioned , llc laws are still evolving — and their specific requirements vary considerably among the states . in 2006 , the national conference of
Revised Uniform Limited Liability Company Act that could be used as a model by all states. To date, only a few states have adopted this law. Until there is more uniformity in state laws, operating	revised uniform limited liability company act that could be used as a model by all states . to date , only a few states have adopted this law . until there is more uniformity in state laws , operating
franchise A licensing arrangement under which a franchisor allows franchisees to use its name, trademark, products, business methods, and other property in exchange for monetary payments and other considerations.	franchise a licensing arrangement under which a franchisor allows franchisees to use its name , trademark , products , business methods , and other property in exchange for monetary payments and other considerations .
franchisor The business entity in a franchise relationship that allows others to operate its business using resources it supplies in exchange for money and other considerations. franchisee The party in a franchise relationship that pays for the right to use resources supplied by the franchisor.	franchisor the business entity in a franchise relationship that allows others to operate its business using resources it supplies in exchange for money and other considerations . franchisee the party in a franchise relationship that pays for the right to use resources supplied by the franchisor .
distributorship A type of franchising arrangement in which the franchisor makes a product and licenses the franchisee to sell it. business format franchise	distributorship a type of franchising arrangement in which the franchisor makes a product and licenses the franchisee to sell it . business format franchise
A broad franchise agreement in which the franchisee pays for the right to use the name, trademark, and business and production methods of the franchisor.	a broad franchise agreement in which the franchisee pays for the right to use the name , trademark , and business and production methods of the franchisor .
A franchise is a licensing arrangement under which one party (the franchisor) allows another party (the	a franchise is a licensing arrangement under which one party ( the franchisor ) allows another party ( the
­franchisee) to use its name, trademark, patents, copyrights, business methods, and other property in exchange for monetary payments and other considerations. Franchising has become a very popular way to operate a business and an important source of employment and income. A 2016 study conducted by Global Insight for the International	­franchisee ) to use its name , trademark , patents , copyrights , business methods , and other property in exchange for monetary payments and other considerations . franchising has become a very popular way to operate a business and an important source of employment and income . a 2016 study conducted by global insight for the international
While franchises are usually associated with restaurants, any kind of business can be operated as a franchise. Some nonrestaurant franchises in the United States include convenience store 7 Eleven, hotel chain Marriott International, Chem-Dry	while franchises are usually associated with restaurants , any kind of business can be operated as a franchise . some nonrestaurant franchises in the united states include convenience store 7 eleven , hotel chain marriott international , chem - dry
franchising study published by the Bureau of the Census, franchise establishments dominate several major markets such as fast food, auto dealerships, convenience stores, and private mail distribution centers.19	franchising study published by the bureau of the census , franchise establishments dominate several major markets such as fast food , auto dealerships , convenience stores , and private mail distribution centers.19
­franchises. In a distributorship, the franchisor makes a product and grants distributors a license to sell it. The most common example of this type of franchise is the arrangement between automakers and the dealerships that sell their cars. In a business format franchise, the franchisor grants the franchisee the right to both make and sell its good or service. Under this arrangement, the franchisor usually provides a wide range of services to the franchisee, such as help with site selection, training, and help in obtaining financing, but also requires the franchisee to follow very specific guidelines while operating the business. You're no doubt very familiar with business format franchises; examples include Wendy's,	­franchises . in a distributorship , the franchisor makes a product and grants distributors a license to sell it . the most common example of this type of franchise is the arrangement between automakers and the dealerships that sell their cars . in a business format franchise , the franchisor grants the franchisee the right to both make and sell its good or service . under this arrangement , the franchisor usually provides a wide range of services to the franchisee , such as help with site selection , training , and help in obtaining financing , but also requires the franchisee to follow very specific guidelines while operating the business . you 're no doubt very familiar with business format franchises ; examples include wendy 's ,
