0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-04 14:31:40.390557	2	00:00:00.29	00:00:04.52	This lecture is about the Word Association mining and analysis.	this lecture be about the Word Association mining and analysis .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283164	187	00:08:34.25	00:08:39.54	So you can see in this case clearly dog and cat have similar left context.	so you can see in this case clearly dog and cat have similar left context .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:17:36.426955	191	00:08:40.6	00:08:51.39	You generally say his cat or my cat, and you say also my dog and his dog. So that makes them similar in the left context.	you generally say his cat or my cat , and you say also my dog and his dog . so that make they similar in the left context .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:18:33.865259	200	00:08:53.56	00:09:15.36	Similarly, if you look at the words that occur after cat and dog, which we can call right context and they also very similar in this case, of course it's extreme case where you only see eats and In general you will see many other words. Of course that can follow cat and dog.	similarly , if you look at the word that occur after cat and dog , which we can call right context and they also very similar in this case , of course it be extreme case where you only see eat and in general you will see many other word . of course that can follow cat and dog .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:19:22.823323	205	00:09:17.71	00:09:26.91	You can also even look at the general context. And that might improve the all words in the sentence or in sentences around this word.	you can also even look at the general context . and that might improve the all word in the sentence or in sentence around this word .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283168	208	00:09:27.52	00:09:34.32	And even in the general context you also see some similarity between the two words.	and even in the general context you also see some similarity between the two word .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283172	215	00:09:35.32	00:09:55.04	So this is just suggesting that we can discover paradigmatic relation by looking at the similarity of context of words. So for example, if we think about the following questions, how similar are context of cat and context of dog?	so this be just suggest that we can discover paradigmatic relation by look at the similarity of context of word . so for example , if we think about the follow question , how similar be context of cat and context of dog ?
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283172	217	00:09:56.11	00:10:01.67	In contrast, how similar are context of cat and context of computer?	in contrast , how similar be context of cat and context of computer ?
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283174	224	00:10:02.42	00:10:20.82	Now intuitively, with imagine in the context of Cat, context of dog would be more similar than the context of cat and context of computer, that means the first in the first case, the similarity value would be high.	now intuitively , with imagine in the context of Cat , context of dog would be more similar than the context of cat and context of computer , that mean the first in the first case , the similarity value would be high .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283175	230	00:10:21.45	00:10:36.45	Between the context of cat and dog, whereas in the second the similarity between contexts of cat and computer would be low because they are not having paradigmatic relationship.	between the context of cat and dog , whereas in the second the similarity between context of cat and computer would be low because they be not have paradigmatic relationship .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283176	234	00:10:37.37	00:10:45.08	And then imagine what words occur after computer. In general they will be very different from what words occur after cat.	and then imagine what word occur after computer . in general they will be very different from what word occur after cat .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:22:41.851702	236	00:10:46.42	00:10:50.87	So this is the basic idea of discovering paradigmatic relation.	so this be the basic idea of discover paradigmatic relation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:23:11.685827	240	00:10:51.93	00:11:02.61	What about the syntagmatic relation? Here we we are going to explore the correlated occurrences again based on the definition of syntagmatic relation.	what about the syntagmatic relation ? here we we be go to explore the correlated occurrence again base on the definition of syntagmatic relation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283178	241	00:11:03.83	00:11:05.96	Here you see the same sample of text.	here you see the same sample of text .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283178	244	00:11:06.54	00:11:11.99	But here we are interested in knowing what other words are correlated with the verb eats.	but here we be interested in know what other word be correlate with the verb eat .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:23:29.555984	245	00:11:12.79	00:11:14.79	And what words can go with eat?	and what word can go with eat ?
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283179	248	00:11:16.24	00:11:25.83	And if you look at the right side of the slide and you will see I've taken away the two words around eats.	and if you look at the right side of the slide and you will see I 've take away the two word around eat .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.28318	251	00:11:26.97	00:11:33.97	I've taken away the word to its left and also the world to its right, In each sentence.	I 've take away the word to its left and also the world to its right , in each sentence .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:24:23.215319	253	00:11:34.56	00:11:41.19	And then we can ask the question what words tend to occur to the left of it.	and then we can ask the question what word tend to occur to the left of it .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:24:59.607508	255	00:11:43.52	00:11:47.95	and what word tend to occur to the right of eat?	and what word tend to occur to the right of eat ?
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283181	257	00:11:49.43	00:11:55.54	Now thinking about this question would help us discover Syntagmatic relations.	now think about this question would help we discover syntagmatic relation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283182	259	00:11:56.12	00:12:01.18	Because syntagmatic relation essentially captures such correlations.	because syntagmatic relation essentially capture such correlation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:26:06.045325	263	00:12:02.97	00:12:14.66	So the important question to ask for syntagmatic relation is whenever eats occurs, what other words also tend to occur?	so the important question to ask for syntagmatic relation be whenever eat occur , what other word also tend to occur ?
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283184	268	00:12:16.04	00:12:28.209999	So the question here has to do with whether there are some other words that tend to co-occur together with eats, meaning that whenever you see eat, you tend to see the other words.	so the question here have to do with whether there be some other word that tend to co - occur together with eat , mean that whenever you see eat , you tend to see the other word .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283184	270	00:12:29.48	00:12:34.76	And if you don't see, it's probably you don't see other words often either.	and if you do n't see , it be probably you do n't see other word often either .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:27:03.81443	272	00:12:36.45	00:12:40.24	So this intuition can help us discover syntagmatic relations.	so this intuition can help we discover syntagmatic relation .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:27:14.794889	273	00:12:41.38	00:12:43.29	Now again, consider example.	now again , consider example .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283185	275	00:12:44.03	00:12:48.5	How helpful is the occurrence of eats for predicting occurrence of meat?	how helpful be the occurrence of eat for predict occurrence of meat ?
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:28:56.118195	282	00:12:49.8	00:13:05.879999	knowing whether eat occurs in a sentence would generally help us predict the Whether meat also occurs indeed as if we will see eats occur in a sentence, and that should increase the chance that meat will also occur.	know whether eat occur in a sentence would generally help we predict the whether meat also occur indeed as if we will see eat occur in a sentence , and that should increase the chance that meat will also occur .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283188	286	00:13:08.35	00:13:15.74	In contrast, if you look at the question in the bottom, how helpful is occurrence of eats for predicting the occurrence of text?	in contrast , if you look at the question in the bottom , how helpful be occurrence of eat for predict the occurrence of text ?
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283189	292	00:13:17.22	00:13:29.41	Because eats and text are not really related, so knowing whether eats occurred in a sentence doesn't really help us predict whether text also occurs in the sentence.	because eat and text be not really relate , so know whether eat occur in a sentence do n't really help we predict whether text also occur in the sentence .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:30:07.136746	294	00:13:30.01	00:13:34.15	So this is in contrast to the question about eats and meat.	so this be in contrast to the question about eat and meat .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:30:38.856118	300	00:13:35.46	00:13:49.1	This also helps explain the intuition behind the methods for discovering syntagmatic relation. Mainly we need to capture the correlation between the occurrences of two words.	this also help explain the intuition behind the method for discover syntagmatic relation . mainly we need to capture the correlation between the occurrence of two word .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283192	303	00:13:50.31	00:13:55.94	So to summarize, the general ideas for discovering word associations or the following.	so to summarize , the general idea for discover word association or the following .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-12-14 09:31:58.541576	310	00:13:56.71	00:14:12.64	For paradigmatically relation we represent each word by its context, and then compute the context similarity. We can gonna assume the words that have high context similarity to have paradigmatic relation	for paradigmatically relation we represent each word by its context , and then compute the context similarity . we can gon na assume the word that have high context similarity to have paradigmatic relation
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283194	315	00:14:14.51	00:14:25.33	For syntagmatic relation, we will count how many times two words occur together in a context which can be a sentence, paragraph or a document even.	for syntagmatic relation , we will count how many time two word occur together in a context which can be a sentence , paragraph or a document even .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283195	318	00:14:26.76	00:14:31.69	And we're going to compare their Co occurrences with their individual occurrences.	and we be go to compare their co occurrence with their individual occurrence .
0d005f7e-0c3f-465b-b7fe-08f45355e3de	2020-11-02 23:02:18.283197	327	00:14:32.5	00:14:53.23	We're going to assume words with high co-occurrences, but relatively low individual occurrences to have syntagmatic relations because they tend to occur together, and they don't usually occur alone. Note that the paradigmatic relation and syntagmatic relation, are actually closely related.	we be go to assume word with high co - occurrence , but relatively low individual occurrence to have syntagmatic relation because they tend to occur together , and they do n't usually occur alone . note that the paradigmatic relation and syntagmatic relation , be actually closely related .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772803	2	00:00:00.3	00:00:05.02	This lecture is about the probabilistic latent semantic analysis or P LSA.	this lecture be about the probabilistic latent semantic analysis or P LSA .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772808	16	00:00:12.47	00:00:47.92	In this lecture we're going to introduce probabilistic latent semantic analysis, often called the PLSA. Say this is the most basic topic model. Also, one of the most useful topic models. Now, this kind of models can in general be used to mine multiple topics from text documents, and PLSA is one of the most basic topic models for doing this, so let's first examine this problem in a little more detail. Here I show a sample article which is a blog article about Hurricane Katrina.	in this lecture we be go to introduce probabilistic latent semantic analysis , often call the PLSA . say this be the most basic topic model . also , one of the most useful topic model . now , this kind of model can in general be use to mine multiple topic from text document , and PLSA be one of the most basic topic model for do this , so let 's first examine this problem in a little more detail . here I show a sample article which be a blog article about Hurricane Katrina .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.77281	20	00:00:48.7	00:00:57.62	An I showed some sample topics, for example government response, flooding of the city in new orlean's donation and the background.	an I show some sample topic , for example government response , flooding of the city in new orlean 's donation and the background .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772825	54	00:00:59.13	00:02:12.9	You can see in the article we use words from all these distributions. So we first for example. See there's a criticism of government response, and this is followed by the discussion of flooding of the city and donation, etc. We also see background words or mixed with them, so the goal of topic analysis here is try to decode these topics behind the text. So segment of the topics to figure out which words are from which distribution and to figure out the first one of these topics. So how do we know there's a topic about government response? There is a public about the flooding of the city. So these are the tasks of topical model. If we can discover these topics can color this words as you see here to separate the different topics, then you can do a lot of things such as summarization or segmentation of the topics, clustering of sentences, etc. So the formal definition of the problem of mining multiple topics from text is shown here, and this is actually a slide that you have seen in the earlier lecture, so the input is the collection, the number of topics and vocabulary set.	you can see in the article we use word from all these distribution . so we first for example . see there be a criticism of government response , and this be follow by the discussion of flooding of the city and donation , etc . we also see background word or mix with they , so the goal of topic analysis here be try to decode these topic behind the text . so segment of the topic to figure out which word be from which distribution and to figure out the first one of these topic . so how do we know there be a topic about government response ? there be a public about the flooding of the city . so these be the task of topical model . if we can discover these topic can color this word as you see here to separate the different topic , then you can do a lot of thing such as summarization or segmentation of the topic , clustering of sentence , etc . so the formal definition of the problem of mining multiple topic from text be show here , and this be actually a slide that you have see in the early lecture , so the input be the collection , the number of topic and vocabulary set .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772829	66	00:02:13.46	00:02:41.47	And of course, the text data right? And then the output is of two kinds. One is the topic category characterization Seedies HCI is a water distribution and 2nd it's the topic coverage for each document. These are pie some ideas and they tell us which document covers which topic to what extent. So we hope to generate these as output because there are many useful applications if we can do that.	and of course , the text datum right ? and then the output be of two kind . one be the topic category characterization seedie HCI be a water distribution and 2nd it be the topic coverage for each document . these be pie some idea and they tell we which document cover which topic to what extent . so we hope to generate these as output because there be many useful application if we can do that .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772832	72	00:02:42.79	00:02:56.79	So the idea of PLSA is actually very similar to the two component mixture model that we have already introduced. The only difference is that we're going to have more than two topics. Otherwise it's essentially the same.	so the idea of PLSA be actually very similar to the two component mixture model that we have already introduce . the only difference be that we be go to have more than two topic . otherwise it be essentially the same .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772834	75	00:02:57.59	00:03:01.54	So here I illustrate how we can generate the text that I was multiple topics.	so here I illustrate how we can generate the text that I be multiple topic .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772836	81	00:03:02.6	00:03:17.38	And naturally, in all cases of probabilistic modeling, would want to figure out the likelihood function. So we will also ask the question what's the probability of observing a world W from such a mixture model?	and naturally , in all case of probabilistic modeling , would want to figure out the likelihood function . so we will also ask the question what be the probability of observe a world w from such a mixture model ?
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772839	86	00:03:18.08	00:03:25.74	Now if you look at this picture and compare this with the picture that you have seen earlier, you will see the only difference is that we have added more topics here.	now if you look at this picture and compare this with the picture that you have see early , you will see the only difference be that we have add more topic here .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772847	105	00:03:26.76	00:04:12.05	So before we have just one topic besides the background topical, but now we have more topics. Specifically we have K topics. Now all these are topics that we assume that exist in the text data, so the consequences that our switch for choosing a topic now is multiway switch before it's just a two way switch. Going to think of as flipping a coin. But now we have multiple is. First we can flip a coin to decide whether we will talk about the background. So it's the background. Lambda sub B versus non background. So this one minus Lambda B gives us the probability of actually choosing a topic.	so before we have just one topic besides the background topical , but now we have more topic . specifically we have k topic . now all these be topic that we assume that exist in the text datum , so the consequence that our switch for choose a topic now be multiway switch before it be just a two way switch . go to think of as flip a coin . but now we have multiple be . first we can flip a coin to decide whether we will talk about the background . so it be the background . Lambda sub B versus non background . so this one minus Lambda B give we the probability of actually choose a topic .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772847	106	00:04:13.94	00:04:14.95	And background help.	and background help .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772849	109	00:04:15.68	00:04:23.92	After we have made this decision, we have to make another decision to choose one of these K distributions.	after we have make this decision , we have to make another decision to choose one of these K distribution .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.77285	112	00:04:24.65	00:04:30.32	So there's a key way. Switch here, and this is characterized by the pies, and there's someone.	so there be a key way . switch here , and this be characterize by the pie , and there be someone .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772853	120	00:04:31.33	00:04:45.28	So this is just the different design of switches, a little bit more complicated, but once we decide which distribution to use, the rest is the same. We're going to generate the world by using one of these distributions, assume here.	so this be just the different design of switch , a little bit more complicated , but once we decide which distribution to use , the rest be the same . we be go to generate the world by use one of these distribution , assume here .
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	2020-11-02 22:56:18.772855	125	00:04:46.17	00:04:56.48	OK, so now let's look at this question about the like hold. So what's the probability of observing a word from such a distribution? What do you think?	ok , so now let 's look at this question about the like hold . so what be the probability of observe a word from such a distribution ? what do you think ?
