transcriptionid	videoid	phrases_both	phrases_caption	phrases_video
1cc2d7fa-3d11-49fa-b979-ef5e9442466f	882df9df-e834-4d22-811e-9eb9fdcd33f0		likelihood function, likelihood estimator, mixture model, word distribution, language model, word distributions, background words, optimization problem, topic models, maximum likelihood, topic coverage, multiple topics, maximum likelihood estimator, background language, background language model, topic model, background model	probabilistic latent, unknown parameter, latent semantic analysis, analysis mining, multiple topic, ml parameter estimation, great new relief, parameter estimation, text representation, new orleans, sentiment analysis, government response, million resident, seventy help, association sentiment, mixed topic, blog article, word association sentiment, semantic analysis, opinion mining, natural language, topic mining, word association, sentiment analysis mining, metropolitan area, background coverage, ml parameter, association sentiment analysis, delayed response, monetary donation, mining multiple topic, op new, new relief
4453a049-7597-4df4-9b9b-67c2d124a116	a02d0ea0-2235-47f9-8562-974151c70692	mixture model	bayes rule, unigram language, likelihood estimator, language model, word distribution, word distributions, maximum likelihood, maximum likelihood estimator, background language, background language model, language models	associate topic, topic ml, em algorithm, topic time location, determined background, topic indicator, topic time, probabilistic latent, unknown parameter, text datum, latent semantic analysis, application ! clustering, determined background lm, semantic analysis, discriminative topic, associate topic time, topical knowledge, discriminative topic ml, time location, background lm
5190e288-54f7-4021-9083-8e8ceac11345	2663cf62-2f01-429f-8c0c-ea777cb56d9f	prior knowledge	likelihood estimator, language model, word distributions, word distribution, generative model, high probabilities, maximum likelihood, topic coverage, bayesian inference, information retrieval, maximum likelihood estimator, background language, background language model, topic model, world distribution, topic models	em algorithm, high probability, laptop user, latent dirichlet allocation, particular word, ml estimate, retrieval model, map estimate, dirichlet allocation, particular doc, latent dirichlet, prior preference, similar em algorithm
d857a66b-1018-4ffb-821a-9d8acc6f5012	5c0df7ef-8040-4233-8b18-0c91ca645094	likelihood function, text mining, word distribution, generative model, topic model, probabilistic topic	likelihood estimator, mixture model, word distributions, likelihood estimate, topic word, topic models, maximum likelihood, topic coverage, bayesian inference, maximum likelihood estimate, maximum likelihood estimator, training data, background model	application basic task, inference method, latent dirichlet allocation, text datum, inference different inference, application lda, multinomial topic model, n’t compute probability, approximate inference, topic choice, parameter estimation, lda parameter, basic task setup, different inference method, different inference, high complexity, qiaozhu mei, new document, model local maxima, local maxima, general principle way, dirichlet allocation, arg max, core assumption, lda core, xuehua shen, posterior inference, task performance, acm kdd, empirical study, probabilistic topic model, arg max log, latent dirichlet, lda core assumption, plsa lda, max log, basic topic model, automatic labeling, basic topic, yue lu, task setup, ml estimator, multinomial topic, heuristic workaround, basic task
8717e27a-33fb-4d06-ae68-2e0d915b1568	1ad61df9-ce18-467d-927b-a0da2cff7ca7	mixture model, document clustering, text clustering, topic mining, topic model	likelihood function, data point, word distribution, word distributions, generative model, special case, probabilistic models, topic coverage, multiple topics, generative models, world distribution, topic models	mode output, document input, text datum, probabilistic model, clustering result, one topic, generative mode output, generative probabilistic model, generative mode
f64adab4-578a-4868-8b2c-03fdd4ddf55d	923f6adf-9d96-439e-b5ca-ee43cb81f4a9	likelihood function, mixture model, text clustering	posterior probability, unigram language, likelihood estimator, language model, word distribution, word distributions, document clustering, probabilistic models, maximum likelihood, maximum likelihood estimator, topic model, language models	cluster allocation, association mining, word association mining, probabilistic model, large cluster, language processing, word association, generative probabilistic model, parameter estimation, text representation
dccc8a84-66da-47ce-ab88-28e8acf192b9	7e7ea099-d2b7-44fb-8d38-2a05ce7657c6	maximum likelihood, document clustering, text clustering	likelihood function, bayes rule, posterior probability, unigram language, likelihood estimator, mixture model, word distribution, language model, probabilistic models, maximum likelihood estimator, topic model, language models, topic models	variable z, sentiment analysis, e - step, language text, likelihood converge, randomly set repeat, word sentiment, opinion mining, probabilistic model, ml estimate, unigram lm, likelihood estimate, word sentiment analysis, dy } model, maximum likelihood estimate, generative probabilistic model
6962b043-7dd8-4050-bad0-bbdb13e2c302	c00450ef-9290-41db-a40d-b648226369b4	text categorization, document clustering	background language, bayes rule, common words, word distribution, topic word, categorization problem, generative models, text clustering, training data, naive bayes, conditional probability, posterior probability, mixture model, word distributions, generative model, high probabilities, scoring function, prior knowledge, unigram language, likelihood estimator, language model, probabilistic models, multiple topics, background language model, machine learning, special case, maximum likelihood, logistical regression, maximum likelihood estimator, logistic regression, language models, background model	naive baye, baye classifier, two category, probabilistic model, generative probabilistic model, naive baye classifier
ee41ce3a-6c8d-4c3b-90fd-79f3e9190402	e2bd5a88-004f-42e6-adef-41306c6b549e	sentiment analysis, opinion mining, generative model, aspect rating, text categorization	text mining, word distribution, word distributions, aspect ratings, opinion holder, language processing, generative models, topic model, overall ratings	expensive hotel, preference weight, three night stay, latent rating, like expensive hotel, morgan & publishers, information retrieval, behavior analysis, business center, product sound bud, pretty much connect, rating regression, view restaurant, hotel max, daily charge, service format volume, rating behavior analysis, volume video, specific sentiment, different aspect, review text, acm kdd, review opinion, price hotel, detailed opinion, review rating, bud customer amazon, reasonable price hotel, value location, product sound, opinion morgan, rating decomposition, text datum, price hotel max, mp3 review rating, latent aspect, sample result, text categorization technique, short walk, bud customer, like cheap hotel, latent aspect rating, review text datum, place market, website dingy, sentiment foundation, night stay, disappointing part, format volume video, user rating behavior, value location view, different aspect rating, low val, product review, sound bud, user preference, much connect, rating behavior, life accessory service, rating regression proceeding, three night, lillian lee, different reviewer, yue lu, accessory service format, categorization technique, good value, product review opinion, value aspect, consumer preference, user rating, category generative model, mining latent, recent three night, service format, social medium, unified generative model, pike place market, review opinion mining, topical aspect, format volume, enriched feature representation, ground - truth, sentimental information, aspect keyword, player product sound, analysis without aspect, top-10 amsterdam, mining latent user, without aspect keyword, location view, high val, excellent choice, unique character, specific sentiment lexicon, aspect summarization, customer amazon, reasonable price, latent user preference, latent user, mp3 review, application ! sentiment, player product, good service, reviewer ’ rating, location view restaurant, table topical aspect, battery life, great location, value room, overall rating, enriched feature, cheap hotel, accessory service, pike place, life accessory, regression proceeding, aspect level, opinion reviewer, entity review, battery life accessory, rating analysis, feature representation, sentiment lexicon, without aspect, aspect rating analysis, sound bud customer, star hotel
3103be2f-681e-41cf-b0f7-21cf6ba56616	eae40e76-7192-4e5d-ae70-e2e83a1f3f6c	contextual text, text mining, generative model, topic coverage, contextual text mining	conditional probability, language model, word distributions, word distribution, text retrieval, probabilistic models, multiple topics, information retrieval, world distribution	paper & ponte, bei yu, spatiotemporal theme pattern, cluster cluster, life cycle, topic extension, probabilistic latent, theme life, event impact analysis, acm sigkdd, theme pattern mining, enable discovery, parameter estimation, text give context, government response, em algorithm, sentiment mining, theme weapon, discovery datum, mixture model, knowledge discovery datum, models igir paper, discovery datum mining, generation process, common theme, igir paper, blog article, interesting context variable, opinion mining, semantic analysis, chao liu, language processing, discovery contextualize topic, specific theme, world wide web, topic mining, acm sigkdd conference, dependent view, different role, context assume, weapon 0015 theme, comparative text mining, content variation, new york, context influence, hang su, models igir, topic assume, kdd acm, interesting context, time 2005 location, context variable, theme pattern, latent semantic analysis, naturally contain context, afghan war, contextual probabilistic latent, event impact, coverage em algorithm, hurricane katrina, topic assume context, model enable discovery, dependent topic, atulya velivelli, assume context, qiaozhu mei, comparative text, wide web, sigkdd conference, spatial distribution, cluster 2 cluster, context assume context, two war, natural language, conditional likelihood, knowledge discovery, international conference, dependent topic coverage, natural language processing, spatiotemporal theme, ir research, document time, retrieval models igir, datum mining, pattern mining, theme life cycle, cluster 3 theme, retrieval models, impact analysis
aca8d826-412b-4134-8d2c-87537fdc4a76	48c298af-6f56-4518-ba92-4af1d2da799b	text mining	sentiment analysis, opinion mining, word associations, language processing, data mining, topic mining	world text datum, text datum express, datum observe world, datum express, text datum, world text, real - world, overview text mining, predictive analytic, real world, overview text
db1d54dd-bb05-46c0-995b-5f7d5243e3c4	608d3900-6494-4bf0-97d9-0a0853f4ffb5		sentiment analysis, machine learning, text mining, language processing, related words	text representation, pos tag
2997c717-2552-411d-9dc4-7e648e16bbf0	a38f9e2a-e3db-4b29-9070-56d88bd45465	sentiment analysis	text mining, text object, language processing, text objects, related words	stylistic analysis, knowledge assistant, string processing, network analysis, knowledge graph analysis, text representation, logic inference, graph analysis, little manual effort, mining algorithm, word word, topic thesaurus discovery, information network analysis, feature extraction, entity - relation, word word relation, relation analysis, relation graph, word topic thesaurus, analysis stylistic analysis, extraction & knowledge, real application, predicate knowledge, syntactic graph analysis, specific entity, network analysis opinion, syntactic graph, relation information network, word relation analysis, multiple way, natural language, thesaurus discovery, information network, logicinference biologist, structure base feature, word relation, syntactic structure, structure- structure, manual effort, analysis opinion, relation information, topic thesaurus, sentiment analysis opinion, sophisticated representation, word topic, knowledge graph
6a9b1334-5f53-407b-8864-2cff7edbc603	7cd21dbc-b96a-4110-babd-a1fc6160a377	topic model, text mining, text object, text clustering	clustering bias, high probabilities, data mining, topic mining, text objects, world distribution, topic models	large text object, text cluster, application clustering, whole collection, additional feature, overall content, two object, major complaint, search result, text datum, large text, text analysis, exploratory text analysis, exploratory text, text segment, whole collection term, text object example, multiple document, collection term
da74c929-efc1-4b65-9635-684c7ebcab3f	b1fe1481-2d71-4520-af9f-f77f61cee3c5	text mining, generative model, clustering bias, text object, text clustering, similarity function, mutual information	mixture model, text objects, training data	assessor evaluation, text cluster, clustering system, inevitably application, strong cluster, human assessor, text datum, right similarity, clustering result, datum approach, text datum approach, general text mining, interesting clustering, information retrieval, general text, intended application, human assessor evaluation, unsupervised nature, unsupervised general text, interesting clustering structure, multiple perspective, evaluation procedure, text mining technique, possible strong cluster, baseline system, two object, probabilistic model, right generative model, direct evaluation, indirect evaluation, f measure, prabhakar raghavan, optimal number, ideal clustering result, standard cluster, model — similarity, application evaluation procedure, clustering structure, assessor evaluation procedure, right similarity function, test set, generative probabilistic model, ideal clustering, application evaluation, performance measure, content text, gold standard cluster, ideal cluster, mining technique, gold standard, content text datum
39d13817-de51-4195-a33a-985b0b54e64d	96bed99b-34ab-44d8-a237-b370e2fff115	topic mining, text categorization, text object	sentiment analysis, text mining, opinion mining, training examples, data mining, multiple topics, categorization problem, information retrieval, text objects	tweet automatic email, routing author, object topical category, categorization result, semantic category, automatic email, training datum, news literature, text datum, sentiment category, literature categorization, meaningful category, sport business, topical category, predefined category, word association, news literature categorization, text representation, mesh annotation
f1951cf2-4293-450b-8578-4d74c72f9862	bbbad2c5-a171-4077-aa16-5e84937e1a04	language processing, sentiment analysis, opinion mining, opinion holder	text mining	one sentence, hurricane the|governor, opinion opinion, one entity, target eal world, service help voter, eal world, analysis mining, text datum, product search, research data, intelligence market research, market research, text representation, whole article, discourse context, element representation, emotion variation, research gain, help maker, else ’s opinion, entire discourse context, simple context, new policy, people ’s preference, intelligence market, association sentiment, product search optimize, word association sentiment, opinion content, opinion context, different kind, natural language, search optimize system, topic mining, bad hurricane, word association, implicit holder, sentiment analysis mining, association sentiment analysis, policy understand people, natural language processing, opinion target, complex context, gain advantage, business intelligence market, one attribute, opinion opinion holder, business intelligence, surface variation, context simple context, optimize system, author ’s opinion, market research data, research gain advantage, search optimize, target holder, new england, entire discourse
4a54f790-991c-44bb-ab62-713cbef84ad1	1d056124-cea1-42ec-b1f1-5f82a7828df9	sentiment analysis, machine learning, special case, text object, opinion holder, text categorization, sentiment classification	language processing, text mining, related words	feature selection, validation enriche, different — unigram, text representation, analysis feature validation, feature validation enriche, sentiment tag, sentiment tagging, recognition error, error analysis feature, machine learn feature, text categorization method, opinion mining, speech act, word cluster, validation enriche text, error analysis, design affect categorization, complex feature, feature validation, frequent subtree, emotion analysis, task definition, text feature, feature space, tagging — consideration, object output, effective domain, commonly use text, text object output, datum opinion holder, text datum, frequent word, categorization accuracy, effective domain knowledge, knowledge seed, empirical word cluster, feature space machine, feature design, ordinal regression, major goal, sophisticated feature, enriche text, text datum opinion, semantic concept, gram tree, enriche feature space, polarity analysis, beyond polarity, domain knowledge seed, pos tag, analysis feature, opinion content, opinion context, categorization method, word set, nlp enriche, discovery algorithm, feature construction, syntagmatically relate word, frequent word set, likely overfitting, datum opinion, seed feature, knowledge seed feature, entity empirical word, space machine, empirical word, enriche text representation, domain knowledge
a97a9d5e-48b7-4f4e-9754-4c5b30a31424	a0b51765-30e2-4c12-aa64-02d4206458ca	contextual text, text mining, contextual text mining	data point, sentiment analysis, machine learning, opinion mining, opinion holder, data mining, topic mining	world text datum, text ata, hong cheng, joint mining, text datum, help text, dong xin, mining content, world sensor, world variable subtask, datum — pattern, pattern annotation, prediction text, qiaozhu mei, datum mining loop, big picture, datum help text, real world, unified view, mining knowledge, text datum help, mining text datum, mining — text, semantic annotation, real world sensor, world variable, world text, mining text, jiawei han, real - world, help text mining, datum provide context, perceive express, knowledge discovery, international conference, datum help, real world variable, mining loop, variable subtask, frequent pattern, datum mining, new york, world observe world, help interpret pattern, text datum mining, world real world, datum perceive express
95f92696-1963-4307-83c6-a8370ff03b30	67fd1c6f-384d-40a3-a190-0487f08c5ed8	contextual text mining, opinion mining, contextual text, text mining	topic mining, data mining	one network, two researcher, sudden change, presidential election, word association sentiment, people region, b b, common research, natural language, news datum, stock price, interesting question, research topic, mining research, research interest, time series, word association, www sigir, author topic, www sigir sigmod, common research interest, social network, sigir sigmod, association sentiment
20703c3c-ced6-4410-ace1-139baa46505c	8cf648e7-0a90-4fb3-9577-13f18709c2dd	likelihood function	mixture model, general idea, parameter values	original likelihood, topic model, algorithm part, probabilistic topic model, expectation - maximization, maximization algorithm part, maximization algorithm, probabilistic topic
5bb813bd-6b7d-4f77-8156-21995f5944ad	1cfa3f93-17aa-4b8e-83ef-7fe026cf8c39	mixture model, generative model, text object, text clustering, similarity function	likelihood function, data point, general idea, clustering bias, generative models, objective function, text objects, paradigmatic relation	hierarchical clustering, clustering result, complete - link, similarity strategy, flexible specification, group similarity, two text, average - link, optimal partitioning, probabilistic model, implicit similarity function, model clustering, single - link, model clustering structure, easy way, tentative clustering, group similarity strategy, complex generative model, complex structure, model — similarity, gradually group, individual decision, clustering method, clustering structure, small cluster, implicit similarity, measure approach, generative probabilistic model, model base approach, clustering algorithm, two text object, group decision
7f9f9b1e-4527-4875-b6f7-4dc0d57ab719	867346b9-c5f7-40ba-a928-44b312972ca2	text categorization, machine learning, categorization problem	data point, sentiment analysis, naive bayes, topic model, mixture model, optimization problem, logistic regression, generative model, text object, training examples, generative models, text clustering, logistical regression, objective function, training data, parameter values, overall ratings, topic models	hinrich introduction, classifier part, deep learning, feature selection, domain adaptation, multiple method, machine learning technique, training example, information retrieval, training error, supervised machine learning, supervised learning technique, good separator, soft margin, effective feature, discriminative classifier part, low - quality, learning technique, particular problem, prabhakar raghavan, domain knowledge, linear svm, categorization method, unlabeled datum, text categorization method, supervised machine, specific classifier, effective feature representation, text categorization problem, notation change, margin notation, feature computer, error analysis, margin notation change, training datum, dimension reduction, feature representation, clear winner, supervised learning, good performance, transfer learning, discriminative classifier
4da6283d-6903-4be9-8bfc-ad5d330343c6	e4f3539b-4794-4f15-aa42-628b6261e69a	conditional probability, text object, maximum likelihood, text categorization, logistic regression, similarity function	data point, bayes rule, naive bayes, likelihood function, machine learning, likelihood estimator, optimization problem, special case, total number, general idea, training examples, categorization problem, logistical regression, maximum likelihood estimator, objective function, training data, parameter values, scoring function	close neighbor, neighbor text object, training datum, classifier part, data instance, regression binary response, likelihood estimate, neighbor text, discriminative classifier part, region r, maximum likelihood estimate, binary response variable, label give data, binary response, training set, response variable, two text object, two text, near neighbor, discriminative classifier
51be74e8-eb10-47c2-a768-b688605de1e0	41473d0d-91ad-4e24-b129-9cf24ef12436	syntagmatic relation, conditional entropy, relation discovery	related words, special case, mutual information, syntagmatic relations	complete definition, language processing representation, analysis mining, minimum possible value, sentiment analysis, word w, discrete random variable, association sentiment, random variable, word association sentiment, opinion mining, language processing, candidate word, word association, sentiment analysis mining, association sentiment analysis, syntagmatic relation discovery, potential syntagmatic relation, processing representation, possible value, forwhich word
9e5a0c5f-ff4a-42a6-b37b-f43628632860	ffbde7b0-d07a-4a67-a647-2f77a7c9e6d1	syntagmatic relation, relation discovery, mutual information	conditional entropy, syntagmatic relations	world text datum, syntagmatic relation discovery, co - occurrence, kl - divergence, information use kl, actual joint distribution, information part, text datum, much reduction, world text, joint distribution, world observe world, different probability, entropy reduction, observed joint distribution, mutual information part, real world, presence & absence, word association
44df41bc-04d3-41ca-ac51-dbd22dc98305	aef9082d-d8de-4f6e-a350-17e56a42ceba	conditional entropy, syntagmatic relation, total number, relation discovery, mutual information	observed data, likelihood estimate, maximum likelihood, data mining, paradigmatic relations, maximum likelihood estimate, information retrieval, syntagmatic relations, paradigmatic relation	lexical atom, interdisciplinary conference, text datum, number segment, rio de janeiro, entropy reduction, basic association, statistical natural language, statistical view, joint analysis, lexical relation, information theory, bigdata conference, adjacency graph, actually observe datum, two basic association, big text, mutual information part, de janeiro, random variable, statistical approach, big text datum, three concept, linguistic context, extra datum, pseudo datum, rio de, segment 2 segment, natural language, language processing, pure statistical approach, ieee bigdata conference, word association, information part, two word, association mining, human effort, syntagmatic relation discovery, word association mining, natural language processing, different way, zero count, principled way, ieee bigdata, total number segment, chris manning
aac4e33c-97bb-46c8-a108-3e3e3322a85c	4db83e26-77a9-402f-882f-a5b4b8bd937a	text categorization, categorization problem, text object, objective function	data point, naive bayes, machine learning, conditional probability, optimization problem, training data, logistical regression, text objects	function measure, annotate datum, directly measure, indirectly measure training, training regression, new text object, sufficient domain knowledge, training error, separate category, generative classifier, different category, likely human expert, naive baye, particular category, special vocabulary, soft rule, vector machine, classifier function, function measure error, sufficient domain, error naive baye, domain knowledge, annotate datum set, surface feature, effective rule, support vector, categorization method, datum set, support vector machine, new text, category label, human expert, near neighbor, measure error, training datum, general setup, directly - function, correct category, logistic regression, discriminative classifier
2d0e46c7-df4e-48b3-9550-dac3fec3062d	d08f57f6-d841-4f60-8e19-2fb519f981a1	logistic regression, sentiment analysis, text object	total number, categorization problem, logistical regression, sentiment classification, training data, parameter values, scoring function	rating r, classifier 1 classifier, categorization technique, multiple logistic regression, discrete rating r, ordinal logistic regression, text categorization technique, text document, rating prediction, regular text, level rating, regular text categorization, k-1 regression, positive word, text categorization, independent classifier, high rating, k-1 independent classifier, regression classifier, logistic regression classifier, discrete rating
6382e23f-d54e-4ece-a231-8df819983fb5	2b617d75-996c-4cd0-8dae-c3d419889850	text categorization, categorization problem	machine learning, classification accuracy	ranking problem, hinrich introduction, categorization result, f score, system false negative, f score variation, system mistake, different method, spam email rank, score variation, evaluation part, information retrieval, relative comparison, editing system, different decision, commonly use measure, particular application, false negative, decision error, editing system mistake, categorization evaluation, right person, prabhakar raghavan, spam email, news category, first pool, statistical approach, far editing, micro - averaging, news categorization, email rank, spam filtering, decision discovery, search engine, overall precision, far editing system, different cost, different decision error, f - measure
b1854d1c-3199-4c42-ab7d-f219f70259a3	9dae6cd8-148a-4645-8467-60be00f5eb00	maximum likelihood, sentiment analysis, opinion mining, aspect rating	conditional probability, aspect ratings, topic models, bayesian inference, topic model, parameter values, overall ratings, related words	review document, rating regression aspect, multivariate gaussian, quiet reviewer, latent rating, likelihood estimate, text datum, latent aspect, maximum likelihood estimate, reviewer service, two stage, review text datum, latent aspect rating, text representation, regression aspect, rating regression approach, latent rating regression, rating regression, word sentiment analysis, prior overall rating, three night june, young daughter, likelihood estimate aspect, word sentiment, aspect segment, young daughter room, review text, great location, natural language, language processing, acm kdd, I aspect weight, segmentation rating, segmentation rating regression, topic mining, overall rating, regression approach, spacious room, night june, natural language processing, three night, estimate aspect, bathroom door, estimate aspect rating, rating analysis, quiet reviewer service, daughter room, yue lu, aspect rating analysis, comfy bed
0d005f7e-0c3f-465b-b7fe-08f45355e3de	df7b3e94-20b5-4d62-890f-44b5464af1be	syntagmatic relation, text retrieval, general idea, paradigmatic relation	paradigmatic relations, related words, syntagmatic relations, word associations	tuesday similar context, high co, basic word, expansion grammar, occurrence likely relation, mining word, sunday dog, low individual occurrence, similar context, nlp task, mine word, expansion grammar learning, cat eat turkey, cat eat fish, negative review, pos tagging, dog eat turkey, individual occurrence, basic word relation, grammar learning, co - occurrence, dog eat meat, acronym expansion, likely relation, sunday tuesday, word relation, word association, mine word association, mining word association, association mining, two word, retrieval use word, word association mining, entity recognition, acronym expansion grammar, time two word, complementary relation, saturday eat turkey, automatic construction
2736e0b3-cd3e-4760-b07e-e9aadcc588e2	f991c0fe-81c5-4bcd-a4d5-ac0359b2683f	syntagmatic relation, relation discovery	special case, syntagmatic relations	syntagmatic relation discovery, measure randomness
380a7417-6702-4df8-9818-5aceba7cde2b	860ecb4f-cfee-4d78-b363-116f3ef682a4	topic mining	syntagmatic relation, paradigmatic relations, data mining, syntagmatic relations, paradigmatic relation	main idea, analysis mining, text datum, datum — theme, text document, current research, text representation, sentiment analysis, word sentiment analysis, research datum, presidential election, word sentiment, application require discovery, opinion mining, current research datum, natural language, language processing, sentiment analysis mining, twitter user, natural language processing, formal definition, datum mining, task definition, research datum mining, major topic
b9eb5a35-5bad-4cf5-9d94-b0b0c816c8cf	68fe64aa-5af3-46ef-be84-21ca402e4430	paradigmatic relation, relation discovery	text retrieval, general idea, paradigmatic relations, information retrieval, similarity function, related words	saturday ats, vocabulary size, pseudo document, word vector space, vector space model, word context, d1 count, two context document, one frequent term, wi count, word wi, space model, word vector, vector space, two context, distinct term, frequent term, context document, paradigmatic relation discovery
b75d0d2e-a1b7-4f6a-b699-f81ec4b720c7	fde6d4fd-d6e4-4b10-9bbf-8c88af3d81e7	topic mining	topic coverage, related words, scoring function, word associations	topic incompleteness, n’t capture variation, high score, complicated topic incompleteness, representative term, vocabulary coverage, multiple term, general topic, title word, collection c, word sense ambiguity, complicated topic, basketball star, specific heuristic, word sense, topical term, expressive power, favor title, favor title word, sense ambiguity
3956403f-f159-448a-9514-5dc69f314c5a	b2c565f1-bc24-4299-82ff-3d83cd9ffac6	classification accuracy	total number, categorization problem, information retrieval	cost variation, categorization result, correct decision, precision r, different categorization, true positive, different perspective, evaluation part, relative comparison, different categorization mistake, model discriminative approach, general evaluation methodology, positive false negative, false positive, probabilistic model, system categorization decision, false negative, system categorization, evaluation methodology, positive true negative, equivalently difference, general evaluation, specific application, text categorization, ground truth, document evaluation, true negative, generative probabilistic model, test collection, categorization decision, different cost, categorization mistake
