transcriptionid	videoid	phrases_both	phrases_caption	phrases_video
3103be2f-681e-41cf-b0f7-21cf6ba56616	eae40e76-7192-4e5d-ae70-e2e83a1f3f6c	text mining, contextual text, contextual text mining	text retrieval, information retrieval, probabilistic model, language model, world distribution, topic coverage, conditional probability, word distribution, generative model	content variation, impact analysis, event impact analysis, latent semantic analysis, news article, government response, generation process, life cycle, semantic analysis, contextual probabilistic latent, probabilistic latent, afghan war, theme life cycle, ir research, theme life, spatial distribution, event impact, blog article, hurricane katrina
20703c3c-ced6-4410-ace1-139baa46505c	8cf648e7-0a90-4fb3-9577-13f18709c2dd		hidden variable, mixture model, parameter value, probability distribution, likelihood function	topic model, maximization algorithm, probabilistic topic, probabilistic topic model, local maximum
5bb813bd-6b7d-4f77-8156-21995f5944ad	1cfa3f93-17aa-4b8e-83ef-7fe026cf8c39	text clustering	objective function, similarity function, mixture model, clustering result, text object, paradigmatic relation, generative model, likelihood function	general idea
da74c929-efc1-4b65-9635-684c7ebcab3f	b1fe1481-2d71-4520-af9f-f77f61cee3c5	text clustering	similarity function, training data, mixture model, clustering result, text mining, text object, mutual information, generative model	text cluster, indirect evaluation, direct evaluation
7f9f9b1e-4527-4875-b6f7-4dc0d57ab719	867346b9-c5f7-40ba-a928-44b312972ca2	text categorization, discriminative classifier	objective function, topic model, training example, optimization problem, training data, mixture model, categorization problem, naive baye, text object, logistical regression, text clustering, parameter value, sentiment analysis, machine learning, generative model, logistic regression	categorization method, linear svm, soft margin, text categorization method, good separator, classifier part, discriminative classifier part
aca8d826-412b-4134-8d2c-87537fdc4a76	48c298af-6f56-4518-ba92-4af1d2da799b	text mining	language processing, opinion mining, word association, data mining, sentiment analysis, natural language, mining algorithm, topic mining	overview text mining, overview text
db1d54dd-bb05-46c0-995b-5f7d5243e3c4	608d3900-6494-4bf0-97d9-0a0853f4ffb5		language processing, text mining, sentiment analysis, natural language, machine learning	text representation
2997c717-2552-411d-9dc4-7e648e16bbf0	a38f9e2a-e3db-4b29-9070-56d88bd45465		language processing, text mining, text object, sentiment analysis, natural language, mining algorithm	text representation
6a9b1334-5f53-407b-8864-2cff7edbc603	7cd21dbc-b96a-4110-babd-a1fc6160a377	text clustering	topic model, clustering result, text mining, text object, world distribution, data mining, mining algorithm, topic mining	
39d13817-de51-4195-a33a-985b0b54e64d	96bed99b-34ab-44d8-a237-b370e2fff115	text categorization	training example, information retrieval, categorization problem, text mining, text object, opinion mining, data mining, sentiment analysis, topic mining	keyword text, predefined category, multiple understanding, possibly form hierarchy
f1951cf2-4293-450b-8578-4d74c72f9862	bbbad2c5-a171-4077-aa16-5e84937e1a04	opinion mining, sentiment analysis	text mining, natural language, opinion holder, language processing	different kind, implicit holder, text datum
4a54f790-991c-44bb-ab62-713cbef84ad1	1d056124-cea1-42ec-b1f1-5f82a7828df9	text categorization, sentiment analysis	language processing, text mining, text object, natural language, machine learning, opinion holder	task definition, text feature, sentiment classification, opinion mining, enriche text representation, complex feature, nlp enriche, commonly use text
a97a9d5e-48b7-4f4e-9754-4c5b30a31424	a0b51765-30e2-4c12-aa64-02d4206458ca		text mining, contextual text, opinion mining, data mining, machine learning, sentiment analysis, mining algorithm, opinion holder, topic mining, contextual text mining	joint mining, main task, world variable content, world variable, variable content, analysis main task, datum mining, mining loop, big picture, datum mining loop, text datum
95f92696-1963-4307-83c6-a8370ff03b30	67fd1c6f-384d-40a3-a190-0487f08c5ed8	text mining, contextual text mining, contextual text	opinion mining, data mining, topic mining	interesting question, context partitioning
b1854d1c-3199-4c42-ab7d-f219f70259a3	9dae6cd8-148a-4645-8467-60be00f5eb00	opinion mining, sentiment analysis	topic model, bayesian inference, maximum likelihood, parameter value, conditional probability	motivation hotel, stage aspect segmentation, aspect rating analysis, two stage, segmentation rating regression, aspect rating, latent rating regression, overall rating, latent aspect, rating regression, segmentation rating, latent rating, review document, latent aspect rating, rating analysis
4da6283d-6903-4be9-8bfc-ad5d330343c6	e4f3539b-4794-4f15-aa42-628b6261e69a	text categorization, logistic regression, discriminative classifier	objective function, training example, optimization problem, scoring function, similarity function, training data, categorization problem, logistical regression, naive baye, text object, likelihood estimator, maximum likelihood estimator, maximum likelihood, parameter value, conditional probability, machine learning, likelihood function	classifier part, discriminative classifier part, near neighbor
51be74e8-eb10-47c2-a768-b688605de1e0	41473d0d-91ad-4e24-b129-9cf24ef12436	conditional entropy, syntagmatic relation, relation discovery	random variable, mutual information, word association	syntagmatic relation discovery, complete definition
9e5a0c5f-ff4a-42a6-b37b-f43628632860	ffbde7b0-d07a-4a67-a647-2f77a7c9e6d1	mutual information, syntagmatic relation, relation discovery	random variable, conditional entropy, discover syntagmatic relation	syntagmatic relation discovery, different probability, mutual information part, entropy reduction, information part
44df41bc-04d3-41ca-ac51-dbd22dc98305	aef9082d-d8de-4f6e-a350-17e56a42ceba	mutual information, syntagmatic relation, relation discovery	maximum likelihood estimate, likelihood estimate, random variable, information retrieval, conditional entropy, zero probability, maximum likelihood, word association, data mining, discover syntagmatic relation, paradigmatic relation	information part, syntagmatic relation discovery, zero count, mutual information part
0d005f7e-0c3f-465b-b7fe-08f45355e3de	df7b3e94-20b5-4d62-890f-44b5464af1be	word association	text retrieval, discover syntagmatic relation, natural language, syntagmatic relation, paradigmatic relation	association mining, basic word relation, word relation, word association mining, mine word, mining word, general idea, mine word association, basic word, mining word association
2736e0b3-cd3e-4760-b07e-e9aadcc588e2	f991c0fe-81c5-4bcd-a4d5-ac0359b2683f	syntagmatic relation, relation discovery	random variable, word association, discover syntagmatic relation	syntagmatic relation discovery
380a7417-6702-4df8-9818-5aceba7cde2b	860ecb4f-cfee-4d78-b363-116f3ef682a4	topic mining	syntagmatic relation, data mining, paradigmatic relation	task definition, formal definition
aac4e33c-97bb-46c8-a108-3e3e3322a85c	4db83e26-77a9-402f-882f-a5b4b8bd937a	text categorization, discriminative classifier	objective function, optimization problem, training data, logistical regression, categorization problem, naive baye, text object, conditional probability, machine learning	categorization method
6382e23f-d54e-4ece-a231-8df819983fb5	2b617d75-996c-4cd0-8dae-c3d419889850	text categorization	machine learning, categorization problem	evaluation part, categorization evaluation
2d0e46c7-df4e-48b3-9550-dac3fec3062d	d08f57f6-d841-4f60-8e19-2fb519f981a1	logistic regression, sentiment analysis	scoring function, training data, logistical regression, categorization problem, text object, parameter value	ordinal logistic regression, rating prediction, independent classifier, level rating
b9eb5a35-5bad-4cf5-9d94-b0b0c816c8cf	68fe64aa-5af3-46ef-be84-21ca402e4430	relation discovery, paradigmatic relation	text retrieval, similarity function, information retrieval, word association, probability distribution	word context, paradigmatic relation discovery, vector space, pseudo document, vector space model, space model
b75d0d2e-a1b7-4f6a-b699-f81ec4b720c7	fde6d4fd-d6e4-4b10-9bbf-8c88af3d81e7	topic mining	scoring function, topic coverage, word association, probabilistic model	collection c, topical term
3956403f-f159-448a-9514-5dc69f314c5a	b2c565f1-bc24-4299-82ff-3d83cd9ffac6		information retrieval, categorization problem	classification accuracy, general evaluation, correct decision, text categorization, evaluation part, document evaluation, evaluation methodology, general evaluation methodology
